  4.194 4191.000   2.000
  4.282   89.000   1.000
  4.366   84.000   1.000
  4.414   48.000   1.000
  4.417    2.000   1.000
  4.420    2.000   0.000
  4.423    2.000   0.000
  4.426    3.000   0.000
  4.429    3.000   1.000
  4.433    3.000   0.000
  4.436    2.000   0.000
  4.439    2.000   0.000
  4.442    3.000   0.000
  4.445    2.000   0.000
  4.448    3.000   0.000
  4.451    2.000   0.000
  4.454    3.000   0.000
  4.465   11.000   1.000
  4.470    4.000   1.000
  4.474    3.000   1.000
  4.478    3.000   1.000
  4.482    4.000   1.000
  4.487    4.000   1.000
  4.491    4.000   1.000
  4.495    3.000   1.000
  4.499    4.000   1.000
  4.503    4.000   1.000
  4.508    4.000   1.000
  4.513    4.000   1.000
  4.517    4.000   1.000
  4.521    3.000   1.000
  4.525    4.000   1.000
  4.529    4.000   1.000
  4.533    3.000   1.000
  4.632   98.000   1.000
  4.752  119.000   1.000
  4.881  129.000   1.000
  5.002  120.000   1.000
  5.132  129.000   1.000
  5.252  119.000   1.000
  5.382  130.000   1.000
  5.502  120.000   1.000
  5.632  129.000   1.000
  5.751  119.000   1.000
  5.881  129.000   1.000
  6.002  120.000   1.000
  6.133  130.000   1.000
  6.252  119.000   1.000
  6.382  130.000   1.000
  6.503  120.000   1.000
  6.632  129.000   1.000
  6.752  119.000   1.000
  6.882  130.000   1.000
  7.003  120.000   1.000
  7.132  129.000   1.000
  7.252  119.000   1.000
  7.382  130.000   1.000
  7.502  120.000   1.000
  7.632  129.000   1.000
  7.752  119.000   1.000
  7.882  130.000   1.000
  8.002  119.000   1.000
  8.142  139.000   1.000
  8.252  109.000   1.000
  8.392  139.000   1.000
  8.502  110.000   1.000
  8.642  139.000   1.000
  8.752  109.000   1.000
  8.892  140.000   1.000
  9.002  109.000   1.000
  9.142  139.000   1.000
  9.252  109.000   1.000
  9.392  140.000   1.000
  9.502  110.000   1.000
  9.642  139.000   1.000
  9.752  109.000   1.000
  9.892  140.000   1.000
 10.002  109.000   1.000
 10.143  140.000   1.000
 10.253  109.000   1.000
 10.393  140.000   1.000
 10.502  108.000   1.000
 10.643  141.000   1.000
 10.753  109.000   1.000
 10.893  140.000   1.000
 11.003  110.000   1.000
 11.143  140.000   1.000
 11.253  109.000   1.000
 11.393  140.000   2.000
 11.503  110.000   1.000
