  4.195 4194.000   0.000
  4.282   87.000   0.000
  4.366   84.000   0.000
  4.415   48.000   0.000
  4.417    2.000   0.000
  4.420    2.000   0.000
  4.423    2.000   0.000
  4.426    3.000   0.000
  4.429    3.000   0.000
  4.433    3.000   0.000
  4.436    3.000   0.000
  4.439    2.000   0.000
  4.442    3.000   0.000
  4.445    2.000   0.000
  4.448    3.000   0.000
  4.451    3.000   0.000
  4.454    3.000   0.000
  4.466   11.000   0.000
  4.470    4.000   0.000
  4.474    3.000   0.000
  4.478    3.000   0.000
  4.482    4.000   0.000
  4.487    4.000   0.000
  4.491    4.000   0.000
  4.495    3.000   0.000
  4.499    4.000   0.000
  4.503    4.000   0.000
  4.508    4.000   0.000
  4.513    4.000   0.000
  4.517    4.000   0.000
  4.521    3.000   0.000
  4.525    4.000   0.000
  4.529    4.000   0.000
  4.533    3.000   0.000
  4.633   99.000   0.000
  4.752  119.000   0.000
  4.881  129.000   0.000
  5.003  120.000   0.000
  5.132  129.000   0.000
  5.252  119.000   0.000
  5.382  130.000   0.000
  5.502  120.000   0.000
  5.632  129.000   0.000
  5.752  119.000   0.000
  5.881  129.000   0.000
  6.002  120.000   0.000
  6.133  130.000   0.000
  6.253  119.000   0.000
  6.383  130.000   0.000
  6.503  120.000   0.000
  6.633  129.000   0.000
  6.753  119.000   0.000
  6.883  130.000   0.000
  7.003  120.000   0.000
  7.133  129.000   0.000
  7.253  119.000   0.000
  7.383  129.000   0.000
  7.503  120.000   0.000
  7.633  129.000   0.000
  7.753  119.000   0.000
  7.883  130.000   0.000
  8.003  120.000   0.000
  8.143  140.000   0.000
  8.253  109.000   0.000
  8.393  140.000   0.000
  8.503  110.000   0.000
  8.643  139.000   0.000
  8.753  109.000   0.000
  8.893  140.000   0.000
  9.003  109.000   0.000
  9.143  140.000   0.000
  9.253  109.000   0.000
  9.393  140.000   0.000
  9.503  109.000   0.000
  9.643  140.000   0.000
  9.753  109.000   0.000
  9.893  140.000   0.000
 10.003  109.000   0.000
 10.144  141.000   0.000
 10.254  110.000   0.000
 10.394  139.000   1.000
 10.503  108.000   0.000
 10.644  141.000   0.000
 10.753  109.000   0.000
 10.894  140.000   0.000
 11.004  109.000   0.000
 11.144  140.000   1.000
 11.253  109.000   0.000
 11.394  140.000   1.000
 11.504  109.000   0.000
 11.644  140.000   1.000
 11.753  109.000   0.000
 11.894  140.000   1.000
 12.003  109.000   0.000
 12.144  140.000   1.000
 12.253  109.000   0.000
 12.394  140.000   1.000
 12.503  109.000   0.000
 12.644  140.000   1.000
 12.753  109.000   0.000
 12.894  140.000   1.000
 13.004  109.000   1.000
 13.144  140.000   1.000
 13.253  109.000   1.000
 13.393  140.000   1.000
 13.503  109.000   1.000
 13.644  140.000   1.000
 13.753  109.000   1.000
 13.893  140.000   1.000
 14.003  109.000   1.000
 14.144  141.000   1.000
 14.254  109.000   1.000
 14.394  140.000   1.000
 14.504  110.000   1.000
 14.644  139.000   1.000
 14.754  109.000   1.000
 14.894  140.000   1.000
 15.004  110.000   1.000
 15.144  139.000   1.000
 15.254  109.000   1.000
 15.394  140.000   1.000
 15.504  110.000   1.000
 15.644  139.000   1.000
 15.754  109.000   1.000
 15.894  140.000   1.000
 16.004  109.000   1.000
 16.144  140.000   1.000
 16.254  109.000   1.000
 16.394  140.000   1.000
 16.504  110.000   1.000
 16.644  139.000   1.000
 16.754  109.000   1.000
 16.894  140.000   1.000
 17.004  109.000   1.000
 17.144  140.000   1.000
 17.254  109.000   1.000
 17.394  140.000   1.000
 17.504  110.000   1.000
 17.644  139.000   1.000
 17.753  109.000   1.000
 17.894  140.000   1.000
 18.004  109.000   1.000
 18.144  140.000   1.000
 18.254  109.000   1.000
 18.395  140.000   1.000
 18.504  110.000   1.000
 18.644  140.000   1.000
 18.754  109.000   1.000
 18.894  140.000   1.000
 19.004  110.000   1.000
 19.144  139.000   1.000
 19.254  109.000   1.000
 19.394  140.000   1.000
 19.504  110.000   1.000
 19.644  139.000   1.000
 19.754  109.000   1.000
 19.894  140.000   1.000
 20.004  109.000   1.000
 20.134  130.000   1.000
 20.254  119.000   1.000
 20.384  130.000   1.000
 20.504  119.000   1.000
 20.634  130.000   1.000
 20.754  119.000   1.000
 20.884  130.000   1.000
 21.004  119.000   1.000
 21.134  129.000   1.000
 21.254  119.000   1.000
 21.384  130.000   1.000
 21.503  119.000   1.000
 21.634  130.000   1.000
 21.753  119.000   1.000
 21.884  130.000   1.000
 22.005  120.000   1.000
 22.134  129.000   1.000
 22.256  121.000   1.000
 22.384  128.000   1.000
 22.504  120.000   1.000
 22.635  129.000   1.000
 22.754  119.000   1.000
 22.884  130.000   1.000
 23.004  119.000   1.000
 23.134  129.000   1.000
 23.254  119.000   1.000
