  4.198 4195.000   3.000
  4.287   91.000   1.000
  4.371   84.000   0.000
  4.421   49.000   1.000
  4.424    3.000   1.000
  4.427    3.000   1.000
  4.430    3.000   1.000
  4.434    3.000   1.000
  4.438    3.000   1.000
  4.442    3.000   1.000
  4.445    2.000   1.000
  4.448    3.000   1.000
  4.452    3.000   1.000
  4.456    4.000   1.000
  4.460    4.000   1.000
  4.528   67.000   1.000
  4.754  225.000   2.000
  5.003  248.000   1.000
  5.254  250.000   1.000
  5.505  251.000   1.000
  5.753  248.000   1.000
  6.004  250.000   1.000
  6.284  279.000   1.000
  6.504  220.000   2.000
  6.753  249.000   1.000
  7.004  250.000   2.000
  7.263  259.000   1.000
  7.504  240.000   2.000
  7.774  270.000   1.000
  8.004  229.000   2.000
  8.275  271.000   2.000
  8.504  228.000   2.000
  8.754  250.000   2.000
  9.006  251.000   3.000
  9.255  249.000   2.000
  9.536  280.000   2.000
  9.754  218.000   2.000
 10.026  271.000   3.000
 10.256  229.000   3.000
 10.505  249.000   3.000
 10.755  249.000   2.000
 11.026  270.000   3.000
 11.254  229.000   2.000
 11.503  249.000   2.000
 11.764  260.000   2.000
 12.005  240.000   3.000
 12.255  250.000   3.000
 12.517  261.000   3.000
 12.766  249.000   2.000
 13.037  270.000   3.000
 13.255  218.000   3.000
 13.506  250.000   3.000
 13.776  269.000   3.000
 14.006  229.000   4.000
 14.267  260.000   3.000
 14.506  239.000   3.000
 14.755  249.000   3.000
 15.005  250.000   3.000
 15.255  249.000   3.000
 15.526  270.000   3.000
 15.785  259.000   3.000
 16.006  220.000   3.000
 16.256  249.000   3.000
 16.527  271.000   3.000
 16.755  227.000   2.000
 17.005  249.000   3.000
 17.255  250.000   3.000
 17.506  250.000   3.000
 17.755  249.000   3.000
 18.005  250.000   3.000
 18.255  249.000   3.000
 18.506  250.000   3.000
 18.755  250.000   3.000
 19.006  249.000   3.000
 19.287  281.000   4.000
 19.506  218.000   3.000
 19.754  249.000   3.000
 20.006  251.000   4.000
 20.256  249.000   3.000
 20.535  279.000   3.000
 20.756  220.000   3.000
 21.006  250.000   3.000
 21.256  249.000   3.000
 21.506  250.000   3.000
 21.756  249.000   3.000
 22.007  250.000   4.000
 22.260  249.000   8.000
 22.505  250.000   3.000
 22.755  249.000   3.000
 23.005  250.000   3.000
 23.256  249.000   3.000
 23.506  249.000   3.000
 23.755  249.000   3.000
 24.007  250.000   4.000
 24.256  250.000   3.000
 24.506  250.000   3.000
 24.778  272.000   3.000
 25.006  227.000   4.000
 25.257  250.000   4.000
 25.508  250.000   4.000
 25.755  248.000   3.000
 26.007  250.000   4.000
 26.277  271.000   4.000
 26.516  239.000   3.000
 26.755  238.000   3.000
 27.018  262.000   4.000
 27.255  237.000   4.000
 27.506  250.000   4.000
 27.755  249.000   3.000
 28.006  250.000   4.000
