  4.195 4195.000   0.000
  4.286   91.000   0.000
  4.371   84.000   0.000
  4.420   49.000   0.000
  4.423    3.000   0.000
  4.426    3.000   0.000
  4.430    3.000   0.000
  4.434    3.000   0.000
  4.437    3.000   0.000
  4.441    3.000   0.000
  4.444    2.000   0.000
  4.448    3.000   0.000
  4.451    3.000   0.000
  4.456    4.000   0.000
  4.460    4.000   0.000
  4.528   67.000   0.000
  4.754  225.000   1.000
  5.002  248.000   1.000
  5.253  250.000   0.000
  5.504  251.000   1.000
  5.753  248.000   1.000
  6.004  250.000   1.000
  6.283  279.000   1.000
  6.503  220.000   1.000
  6.753  249.000   1.000
  7.003  250.000   1.000
  7.263  259.000   1.000
  7.503  240.000   1.000
  7.773  270.000   1.000
  8.003  229.000   1.000
  8.274  271.000   1.000
  8.503  228.000   1.000
  8.753  250.000   1.000
  9.005  251.000   2.000
  9.254  249.000   1.000
  9.535  280.000   2.000
  9.754  218.000   1.000
 10.026  271.000   2.000
 10.255  229.000   2.000
 10.505  249.000   2.000
 10.754  249.000   2.000
 11.025  270.000   2.000
 11.253  229.000   2.000
 11.503  249.000   2.000
 11.763  260.000   1.000
 12.004  240.000   2.000
 12.254  250.000   2.000
 12.516  261.000   2.000
 12.765  249.000   1.000
 13.036  270.000   3.000
 13.254  218.000   2.000
 13.505  250.000   2.000
 13.775  269.000   2.000
 14.006  229.000   3.000
 14.266  260.000   3.000
 14.505  239.000   2.000
 14.754  249.000   2.000
 15.005  250.000   2.000
 15.254  249.000   2.000
 15.525  270.000   2.000
 15.784  259.000   2.000
 16.005  220.000   2.000
 16.255  249.000   2.000
 16.526  271.000   2.000
 16.754  227.000   2.000
 17.004  249.000   2.000
 17.255  250.000   2.000
 17.505  250.000   2.000
 17.754  249.000   2.000
 18.005  250.000   2.000
 18.254  249.000   2.000
 18.505  250.000   2.000
 18.755  250.000   2.000
 19.005  249.000   3.000
 19.287  281.000   3.000
 19.505  218.000   3.000
 19.753  249.000   2.000
 20.005  251.000   3.000
 20.255  249.000   2.000
 20.535  279.000   2.000
 20.755  220.000   2.000
 21.006  250.000   2.000
 21.255  249.000   2.000
 21.506  250.000   3.000
 21.755  249.000   3.000
 22.006  250.000   3.000
 22.255  249.000   3.000
 22.505  250.000   2.000
 22.754  249.000   2.000
 23.005  250.000   2.000
 23.255  249.000   3.000
 23.505  249.000   3.000
 23.754  249.000   2.000
 24.006  250.000   3.000
 24.255  250.000   3.000
 24.505  250.000   2.000
 24.777  272.000   2.000
 25.005  227.000   3.000
 25.256  250.000   3.000
 25.507  250.000   3.000
 25.754  248.000   2.000
 26.006  250.000   3.000
 26.277  271.000   3.000
 26.516  239.000   2.000
 26.754  238.000   2.000
 27.017  262.000   3.000
 27.255  237.000   3.000
 27.506  250.000   3.000
 27.754  249.000   3.000
 28.006  250.000   3.000
 28.255  250.000   2.000
 28.505  249.000   3.000
 28.754  250.000   2.000
 29.027  272.000   2.000
 29.278  250.000   2.000
 29.526  247.000   2.000
 29.755  228.000   3.000
 30.005  250.000   2.000
 30.254  249.000   2.000
 30.527  272.000   3.000
 30.754  227.000   2.000
 31.006  250.000   3.000
 31.255  249.000   3.000
 31.505  250.000   3.000
 31.755  249.000   3.000
 32.008  252.000   3.000
 32.257  248.000   4.000
 32.506  250.000   3.000
 32.756  249.000   3.000
 33.005  249.000   2.000
