  3.812 3812.000   0.000
  4.061  248.000   0.000
  4.312  251.000   0.000
  4.318    5.000   0.000
  4.320    2.000   0.000
  4.323    3.000   0.000
  4.325    1.000   0.000
  4.327    1.000   0.000
  4.329    1.000   0.000
  4.331    1.000   0.000
  4.333    1.000   0.000
  4.334    1.000   0.000
  4.337    1.000   0.000
  4.338    1.000   0.000
  4.340    1.000   0.000
  4.342    1.000   0.000
  4.344    1.000   0.000
  4.346    1.000   0.000
  4.348    1.000   0.000
  4.349    1.000   0.000
  4.351    1.000   0.000
  4.362   11.000   0.000
  4.370    7.000   0.000
  4.374    3.000   0.000
  4.377    1.000   1.000
  4.378    2.000   0.000
  4.379    1.000   0.000
  4.384    4.000   0.000
  4.387    3.000   0.000
  4.389    1.000   0.000
  4.391    2.000   0.000
  4.395    3.000   0.000
  4.399    3.000   0.000
  4.402    2.000   0.000
  4.403    1.000   0.000
  4.407    3.000   0.000
  4.410    3.000   0.000
  4.413    3.000   0.000
  4.414    1.000   0.000
  4.419    4.000   0.000
  4.420    1.000   0.000
  4.424    3.000   0.000
  4.427    3.000   0.000
  4.429    1.000   0.000
  4.432    3.000   0.000
  4.433    1.000   0.000
  4.438    4.000   0.000
  4.442    4.000   0.000
  4.443    1.000   0.000
  4.447    4.000   0.000
  4.451    3.000   0.000
  4.453    2.000   0.000
  4.455    1.000   0.000
  4.457    1.000   0.000
  4.459    2.000   0.000
  4.461    1.000   0.000
  4.463    1.000   0.000
  4.468    5.000   0.000
  4.470    1.000   0.000
  4.471    1.000   0.000
  4.475    3.000   0.000
  4.477    1.000   0.000
  4.485    8.000   0.000
  4.487    1.000   0.000
  4.489    1.000   0.000
  4.494    4.000   0.000
  4.495    1.000   0.000
  4.498    2.000   0.000
  4.500    1.000   0.000
  4.505    4.000   0.000
  4.507    2.000   0.000
  4.513    5.000   0.000
  4.516    2.000   0.000
  4.518    2.000   0.000
  4.520    1.000   0.000
  4.524    4.000   0.000
  4.526    1.000   0.000
  4.527    1.000   0.000
  4.539   11.000   0.000
  4.541    2.000   0.000
  4.549    7.000   0.000
  4.560   11.000   0.000
  4.570    9.000   0.000
  4.579    9.000   0.000
  4.589   10.000   0.000
  4.599    9.000   0.000
  4.610   10.000   0.000
  4.629   19.000   0.000
  4.639    9.000   0.000
  4.649    9.000   0.000
  4.660   10.000   0.000
  4.669   10.000   0.000
  4.678    8.000   0.000
  4.688   10.000   0.000
  4.698    9.000   0.000
  4.709   10.000   0.000
  4.720   10.000   1.000
  4.728    9.000   0.000
  4.748   20.000   0.000
  4.758   10.000   0.000
  4.838   79.000   0.000
  4.848    9.000   0.000
  4.858   10.000   0.000
  4.868    9.000   0.000
  4.888   20.000   0.000
  4.908   20.000   0.000
  4.918    9.000   0.000
  4.938   20.000   0.000
  4.948    9.000   0.000
  4.959   10.000   0.000
  4.968    9.000   0.000
  4.988   19.000   0.000
  4.998   10.000   0.000
  5.008    9.000   0.000
  5.018    9.000   0.000
  5.028   10.000   0.000
  5.038    9.000   0.000
  5.048    9.000   0.000
  5.058   10.000   0.000
  5.068   10.000   0.000
  5.079   10.000   0.000
  5.088    9.000   0.000
  5.098    9.000   0.000
  5.108   10.000   0.000
  5.118   10.000   0.000
  5.128    9.000   0.000
  5.148   19.000   0.000
  5.158    9.000   0.000
  5.169   10.000   0.000
  5.178    9.000   0.000
  5.188   10.000   0.000
  5.208   19.000   0.000
  5.218   10.000   0.000
  5.238   20.000   0.000
  5.258   20.000   0.000
  5.288   29.000   0.000
  5.298   10.000   0.000
  5.308   10.000   0.000
  5.318    9.000   0.000
  5.328    9.000   0.000
  5.338   10.000   0.000
  5.378   39.000   0.000
  5.388   10.000   0.000
  5.398    9.000   0.000
  5.418   19.000   0.000
  5.428   10.000   0.000
  5.448   20.000   0.000
  5.458    9.000   0.000
  5.468    9.000   0.000
  5.488   20.000   0.000
  5.498   10.000   0.000
  5.508   10.000   0.000
  5.518    9.000   0.000
  5.529   10.000   0.000
  5.538    9.000   0.000
  5.548    9.000   0.000
  5.558    9.000   0.000
  5.578   20.000   0.000
  5.588   10.000   0.000
  5.608   20.000   0.000
  5.628   19.000   0.000
  5.638   10.000   0.000
  5.658   19.000   0.000
  5.668    9.000   0.000
  5.688   20.000   0.000
  5.698    9.000   0.000
  5.708   10.000   0.000
  5.718    9.000   0.000
  5.728   10.000   0.000
  5.748   19.000   0.000
  5.758    9.000   0.000
  5.778   20.000   0.000
  5.798   20.000   0.000
  5.809    9.000   1.000
  5.818    9.000   0.000
  5.828   10.000   0.000
  5.838    9.000   0.000
  5.858   20.000   0.000
  5.868    9.000   0.000
