  4.185 4185.000   0.000
  4.270   85.000   0.000
  4.355   84.000   0.000
  4.404   48.000   0.000
  4.406    2.000   0.000
  4.408    2.000   0.000
  4.411    2.000   0.000
  4.415    3.000   0.000
  4.418    2.000   0.000
  4.420    2.000   0.000
  4.424    2.000   0.000
  4.426    2.000   0.000
  4.430    3.000   0.000
  4.432    2.000   0.000
  4.436    3.000   0.000
  4.440    3.000   0.000
  4.443    3.000   0.000
  4.454   11.000   0.000
  4.460    5.000   0.000
  4.464    3.000   0.000
  4.468    3.000   0.000
  4.472    4.000   0.000
  4.476    3.000   0.000
  4.480    4.000   0.000
  4.485    4.000   0.000
  4.489    4.000   0.000
  4.493    3.000   0.000
  4.497    4.000   0.000
  4.501    3.000   0.000
  4.506    5.000   0.000
  4.510    3.000   0.000
  4.514    4.000   0.000
  4.519    4.000   0.000
  4.523    4.000   0.000
  4.528    4.000   0.000
  4.532    4.000   0.000
  4.536    3.000   0.000
  4.541    5.000   0.000
  4.545    3.000   0.000
  4.549    3.000   0.000
  4.553    4.000   0.000
  4.557    3.000   0.000
  4.561    3.000   0.000
  4.565    4.000   0.000
  4.569    3.000   0.000
  4.573    3.000   0.000
  4.577    4.000   0.000
  4.581    3.000   0.000
  4.585    4.000   0.000
  4.590    5.000   0.000
  4.595    4.000   0.000
  4.599    3.000   0.000
  4.603    4.000   0.000
  4.607    3.000   0.000
  4.616    9.000   0.000
  4.626    9.000   0.000
  4.646   20.000   0.000
  4.656   10.000   0.000
  4.666    9.000   0.000
  4.676    9.000   0.000
  4.686   10.000   0.000
  4.696   10.000   0.000
  4.716   19.000   0.000
  4.725    9.000   0.000
  4.736   10.000   0.000
  4.746   10.000   0.000
  4.755    8.000   0.000
  4.776   20.000   0.000
  4.785    9.000   0.000
  4.796   10.000   0.000
  4.805    9.000   0.000
  4.816   10.000   0.000
  4.836   20.000   0.000
  4.844    7.000   0.000
  4.854   10.000   0.000
  4.863    9.000   0.000
  4.904   40.000   0.000
  4.964   59.000   0.000
  5.024   59.000   0.000
  5.094   70.000   0.000
  5.153   59.000   0.000
  5.214   60.000   0.000
  5.273   59.000   0.000
  5.334   60.000   0.000
  5.403   69.000   0.000
  5.464   60.000   0.000
  5.523   59.000   0.000
  5.583   59.000   0.000
  5.643   60.000   0.000
  5.714   69.000   0.000
  5.773   59.000   0.000
  5.834   60.000   0.000
  5.893   59.000   0.000
  5.953   60.000   0.000
  6.024   70.000   0.000
  6.083   59.000   0.000
  6.143   60.000   0.000
  6.203   59.000   0.000
  6.263   59.000   0.000
  6.333   70.000   0.000
  6.394   59.000   1.000
  6.453   59.000   0.000
  6.513   59.000   0.000
  6.573   59.000   0.000
  6.643   70.000   0.000
  6.703   59.000   0.000
  6.763   59.000   0.000
  6.823   59.000   0.000
  6.883   60.000   0.000
  6.953   70.000   0.000
  7.013   59.000   0.000
  7.073   59.000   0.000
  7.133   60.000   0.000
  7.193   60.000   0.000
  7.263   69.000   0.000
  7.323   59.000   0.000
  7.384   60.000   1.000
  7.443   60.000   0.000
  7.503   60.000   0.000
  7.573   69.000   0.000
  7.633   60.000   0.000
  7.693   60.000   0.000
  7.753   59.000   0.000
  7.823   69.000   0.000
  7.883   60.000   0.000
  7.953   69.000   0.000
  8.014   60.000   1.000
  8.073   60.000   0.000
  8.134   60.000   0.000
  8.204   69.000   0.000
  8.264   60.000   0.000
  8.324   59.000   0.000
  8.384   60.000   0.000
  8.434   49.000   0.000
  8.514   80.000   0.000
  8.574   59.000   0.000
  8.635   60.000   1.000
  8.684   49.000   0.000
  8.744   60.000   0.000
  8.824   80.000   0.000
  8.884   59.000   0.000
  8.934   49.000   0.000
  8.994   60.000   0.000
  9.054   59.000   0.000
  9.134   80.000   0.000
  9.184   49.000   0.000
  9.245   61.000   0.000
  9.304   58.000   0.000
  9.364   60.000   0.000
  9.434   69.000   0.000
  9.494   60.000   0.000
  9.554   59.000   0.000
  9.614   60.000   0.000
  9.684   70.000   0.000
  9.744   59.000   0.000
  9.804   59.000   0.000
  9.865   60.000   1.000
  9.934   69.000   0.000
  9.994   60.000   0.000
 10.054   59.000   0.000
 10.114   60.000   0.000
 10.184   70.000   0.000
 10.245   61.000   0.000
 10.304   58.000   0.000
 10.364   60.000   0.000
 10.434   69.000   0.000
 10.494   60.000   0.000
 10.554   59.000   0.000
 10.614   60.000   0.000
 10.684   69.000   0.000
 10.744   60.000   0.000
 10.804   59.000   0.000
 10.864   60.000   0.000
 10.914   49.000   0.000
 10.994   80.000   0.000
 11.054   59.000   0.000
 11.114   59.000   0.000
 11.164   50.000   0.000
 11.224   59.000   0.000
 11.304   80.000   0.000
 11.364   59.000   0.000
 11.415   49.000   1.000
 11.474   60.000   0.000
 11.534   60.000   0.000
 11.614   80.000   0.000
 11.663   49.000   0.000
 11.723   59.000   0.000
 11.783   60.000   0.000
 11.864   79.000   0.000
 11.913   50.000   0.000
 11.973   59.000   0.000
 12.033   60.000   0.000
 12.094   60.000   0.000
 12.156   60.000   1.000
 12.224   69.000   0.000
 12.284   60.000   0.000
 12.344   60.000   0.000
 12.404   59.000   0.000
 12.474   70.000   0.000
 12.534   59.000   0.000
 12.594   59.000   0.000
 12.654   60.000   0.000
 12.725   70.000   0.000
 12.774   49.000   0.000
 12.844   69.000   0.000
 12.904   60.000   0.000
 12.974   69.000   0.000
 13.024   50.000   0.000
 13.094   69.000   0.000
 13.154   59.000   0.000
 13.224   69.000   0.000
 13.274   50.000   0.000
 13.344   70.000   0.000
 13.394   49.000   0.000
 13.474   79.000   0.000
 13.524   50.000   0.000
 13.594   69.000   0.000
 13.644   50.000   0.000
 13.704   59.000   0.000
 13.774   70.000   0.000
 13.844   70.000   0.000
 13.894   50.000   0.000
 13.954   59.000   0.000
 14.014   60.000   0.000
 14.094   79.000   0.000
 14.144   50.000   0.000
 14.204   59.000   0.000
 14.264   60.000   0.000
 14.324   60.000   0.000
 14.394   69.000   0.000
 14.454   59.000   0.000
 14.514   60.000   0.000
 14.574   59.000   0.000
 14.634   60.000   0.000
 14.704   70.000   0.000
 14.764   59.000   0.000
 14.824   59.000   0.000
 14.884   60.000   0.000
 14.944   59.000   0.000
 15.014   69.000   0.000
 15.074   60.000   0.000
 15.134   59.000   0.000
 15.194   60.000   0.000
 15.264   69.000   0.000
 15.324   60.000   0.000
 15.384   59.000   0.000
 15.444   60.000   0.000
 15.514   69.000   0.000
 15.564   49.000   0.000
 15.634   70.000   0.000
 15.694   59.000   0.000
 15.765   69.000   1.000
 15.814   50.000   0.000
 15.884   69.000   0.000
 15.944   60.000   0.000
 16.014   69.000   0.000
 16.065   51.000   0.000
 16.133   68.000   0.000
 16.184   50.000   0.000
 16.265   80.000   0.000
 16.315   50.000   0.000
 16.384   69.000   0.000
 16.434   49.000   0.000
 16.495   60.000   0.000
 16.565   69.000   0.000
 16.634   69.000   0.000
 16.684   50.000   0.000
 16.744   59.000   0.000
 16.804   60.000   0.000
 16.885   80.000   0.000
 16.934   49.000   0.000
 16.994   59.000   0.000
 17.054   59.000   0.000
 17.115   60.000   0.000
 17.184   69.000   0.000
 17.244   60.000   0.000
 17.304   59.000   0.000
 17.364   59.000   0.000
 17.434   70.000   0.000
 17.494   60.000   0.000
 17.554   60.000   0.000
 17.615   60.000   0.000
 17.685   69.000   1.000
 17.734   50.000   0.000
 17.804   70.000   0.000
 17.865   60.000   0.000
 17.934   69.000   0.000
 17.984   50.000   0.000
 18.054   69.000   0.000
 18.114   60.000   0.000
 18.184   69.000   0.000
 18.234   50.000   0.000
 18.304   70.000   0.000
 18.354   49.000   0.000
 18.434   79.000   0.000
 18.484   49.000   0.000
 18.554   69.000   0.000
 18.604   50.000   0.000
 18.664   59.000   0.000
 18.734   70.000   0.000
 18.804   69.000   0.000
 18.854   49.000   0.000
 18.914   60.000   0.000
 18.974   59.000   0.000
 19.054   80.000   0.000
 19.104   49.000   0.000
 19.164   59.000   0.000
 19.224   60.000   0.000
 19.284   59.000   0.000
 19.354   70.000   0.000
 19.414   59.000   0.000
 19.474   60.000   0.000
 19.534   59.000   0.000
 19.594   60.000   0.000
 19.664   69.000   0.000
 19.724   59.000   0.000
 19.784   60.000   0.000
 19.844   59.000   0.000
 19.904   60.000   0.000
 19.974   69.000   0.000
 20.033   59.000   0.000
 20.095   61.000   0.000
 20.155   59.000   0.000
 20.215   60.000   0.000
 20.284   69.000   0.000
 20.345   60.000   0.000
 20.405   59.000   0.000
 20.465   60.000   0.000
 20.524   59.000   0.000
 20.595   70.000   0.000
