  4.181 4181.000   0.000
  4.269   88.000   0.000
  4.354   84.000   0.000
  4.402   48.000   0.000
  4.405    2.000   0.000
  4.408    2.000   0.000
  4.411    2.000   0.000
  4.414    3.000   0.000
  4.417    2.000   0.000
  4.420    2.000   0.000
  4.423    2.000   0.000
  4.426    2.000   0.000
  4.429    2.000   0.000
  4.432    3.000   0.000
  4.435    3.000   0.000
  4.439    3.000   0.000
  4.442    2.000   0.000
  4.453   11.000   0.000
  4.459    5.000   0.000
  4.463    3.000   0.000
  4.467    3.000   0.000
  4.471    4.000   0.000
  4.475    3.000   0.000
  4.479    4.000   0.000
  4.484    4.000   0.000
  4.488    4.000   0.000
  4.492    3.000   0.000
  4.496    4.000   0.000
  4.500    3.000   0.000
  4.505    5.000   0.000
  4.509    3.000   0.000
  4.513    4.000   0.000
  4.518    4.000   0.000
  4.522    4.000   0.000
  4.527    4.000   0.000
  4.531    4.000   0.000
  4.535    3.000   0.000
  4.540    5.000   0.000
  4.544    3.000   0.000
  4.548    3.000   0.000
  4.552    4.000   0.000
  4.556    3.000   0.000
  4.560    3.000   0.000
  4.564    4.000   0.000
  4.568    3.000   0.000
  4.572    3.000   0.000
  4.576    4.000   0.000
  4.580    3.000   0.000
  4.584    4.000   0.000
  4.589    5.000   0.000
  4.594    4.000   0.000
  4.598    3.000   0.000
  4.602    4.000   0.000
  4.606    4.000   0.000
  4.615    8.000   0.000
  4.625    9.000   0.000
  4.645   20.000   0.000
  4.655    9.000   0.000
  4.665   10.000   0.000
  4.675    9.000   0.000
  4.685   10.000   0.000
  4.695   10.000   0.000
  4.715   19.000   0.000
  4.725    9.000   0.000
  4.735   10.000   0.000
  4.746   10.000   0.000
  4.755    8.000   0.000
  4.775   19.000   0.000
  4.785    9.000   0.000
  4.795   10.000   0.000
  4.805    9.000   0.000
  4.815   10.000   0.000
  4.835   20.000   0.000
  4.843    7.000   0.000
  4.853    9.000   0.000
  4.863    9.000   0.000
  4.903   40.000   0.000
  4.962   59.000   0.000
  5.022   60.000   0.000
  5.093   70.000   0.000
  5.152   59.000   0.000
  5.212   60.000   0.000
  5.272   59.000   0.000
  5.332   60.000   0.000
  5.402   69.000   0.000
  5.462   60.000   0.000
  5.522   60.000   0.000
  5.582   59.000   0.000
  5.642   60.000   0.000
  5.712   69.000   0.000
  5.772   60.000   0.000
  5.832   60.000   0.000
  5.892   59.000   0.000
  5.952   59.000   0.000
  6.022   70.000   0.000
  6.082   59.000   0.000
  6.142   60.000   0.000
  6.202   59.000   0.000
  6.262   59.000   0.000
  6.332   70.000   0.000
  6.392   60.000   0.000
  6.452   59.000   0.000
  6.512   59.000   0.000
  6.572   59.000   0.000
  6.642   70.000   0.000
  6.702   59.000   0.000
  6.762   60.000   0.000
  6.822   60.000   0.000
  6.882   59.000   0.000
  6.952   69.000   0.000
  7.012   59.000   0.000
  7.072   60.000   0.000
  7.132   59.000   0.000
  7.192   60.000   0.000
  7.262   69.000   0.000
  7.322   60.000   0.000
  7.382   59.000   0.000
  7.442   60.000   0.000
  7.502   60.000   0.000
  7.572   69.000   0.000
  7.632   60.000   0.000
  7.692   60.000   0.000
  7.752   59.000   0.000
  7.822   69.000   0.000
  7.882   60.000   0.000
  7.952   69.000   0.000
  8.012   60.000   0.000
  8.072   60.000   0.000
  8.133   60.000   0.000
  8.203   69.000   0.000
  8.263   60.000   0.000
  8.323   59.000   0.000
  8.383   60.000   0.000
  8.433   49.000   0.000
  8.513   80.000   0.000
  8.573   59.000   0.000
  8.633   60.000   0.000
  8.683   49.000   0.000
  8.743   60.000   0.000
  8.823   79.000   0.000
  8.883   60.000   0.000
  8.933   49.000   0.000
  8.993   60.000   0.000
  9.053   59.000   0.000
  9.133   79.000   0.000
  9.183   49.000   0.000
  9.243   60.000   0.000
  9.303   59.000   0.000
  9.363   60.000   0.000
  9.433   69.000   0.000
  9.493   60.000   0.000
  9.553   59.000   0.000
  9.613   60.000   0.000
  9.683   69.000   0.000
  9.743   59.000   0.000
  9.803   59.000   0.000
  9.863   60.000   0.000
  9.933   69.000   0.000
  9.993   60.000   0.000
 10.053   59.000   0.000
 10.113   60.000   0.000
 10.182   69.000   0.000
 10.243   60.000   0.000
 10.302   59.000   0.000
 10.363   60.000   0.000
 10.432   69.000   0.000
 10.493   60.000   0.000
 10.552   59.000   0.000
 10.613   60.000   0.000
 10.682   69.000   0.000
 10.743   60.000   0.000
 10.802   59.000   0.000
 10.863   60.000   0.000
 10.912   49.000   0.000
 10.993   79.000   0.000
 11.052   60.000   0.000
 11.112   59.000   0.000
 11.162   50.000   0.000
 11.222   59.000   0.000
 11.302   79.000   0.000
 11.362   60.000   0.000
 11.412   50.000   0.000
 11.472   59.000   0.000
 11.532   60.000   0.000
 11.613   80.000   0.000
 11.662   49.000   0.000
 11.722   59.000   0.000
 11.782   60.000   0.000
 11.862   79.000   0.000
 11.912   50.000   0.000
 11.972   59.000   0.000
 12.032   59.000   0.000
 12.093   61.000   0.000
 12.153   59.000   0.000
 12.223   70.000   0.000
 12.283   59.000   0.000
 12.343   60.000   0.000
