  4.323 4319.000   4.000
  4.573  252.000   1.000
  4.825  251.000   1.000
  4.830    5.000   1.000
  4.832    2.000   1.000
  4.836    3.000   1.000
  4.838    2.000   1.000
  4.839    1.000   1.000
  4.841    1.000   1.000
  4.843    2.000   1.000
  4.845    1.000   0.000
  4.847    1.000   0.000
  4.849    1.000   1.000
  4.851    1.000   1.000
  4.853    1.000   1.000
  4.854    1.000   0.000
  4.856    1.000   0.000
  4.858    1.000   1.000
  4.860    1.000   0.000
  4.862    1.000   1.000
  4.864    1.000   0.000
  4.873    9.000   1.000
  4.881    7.000   1.000
  4.886    4.000   1.000
  4.889    3.000   1.000
  4.891    1.000   0.000
  4.893    2.000   0.000
  4.897    3.000   1.000
  4.899    2.000   0.000
  4.903    2.000   2.000
  4.906    4.000   1.000
  4.908    2.000   0.000
  4.910    1.000   1.000
  4.914    4.000   1.000
  4.916    2.000   0.000
  4.920    3.000   1.000
  4.923    3.000   1.000
  4.925    1.000   0.000
  5.002   76.000   1.000
  5.131  128.000   1.000
  5.261  129.000   1.000
  5.380  119.000   1.000
  5.521  140.000   1.000
  5.630  109.000   1.000
  5.771  140.000   1.000
  5.911  140.000   1.000
  6.021  109.000   1.000
  6.141  119.000   1.000
  6.260  119.000   1.000
  6.390  130.000   1.000
  6.510  119.000   1.000
  6.630  119.000   1.000
  6.751  120.000   1.000
  6.880  128.000   1.000
  7.002  121.000   1.000
  7.131  129.000   1.000
  7.251  120.000   1.000
  7.391  139.000   1.000
  7.501  110.000   1.000
  7.631  129.000   1.000
  7.751  119.000   1.000
  7.881  130.000   1.000
  8.001  119.000   1.000
  8.131  129.000   1.000
  8.251  120.000   1.000
  8.401  149.000   1.000
  8.501   99.000   1.000
  8.631  129.000   1.000
  8.781  149.000   1.000
  8.911  130.000   1.000
  9.021  109.000   1.000
  9.131  109.000   1.000
  9.261  129.000   1.000
  9.381  120.000   1.000
  9.521  140.000   1.000
  9.631  109.000   1.000
  9.771  139.000   1.000
  9.881  109.000   1.000
 10.021  140.000   1.000
 10.131  109.000   1.000
 10.261  129.000   1.000
 10.391  130.000   1.000
 10.511  120.000   1.000
 10.631  119.000   1.000
 10.751  120.000   1.000
 10.892  140.000   1.000
 11.002  109.000   1.000
 11.141  140.000   1.000
 11.251  109.000   1.000
 11.381  129.000   1.000
 11.512  130.000   1.000
 11.641  129.000   1.000
 11.751  110.000   1.000
 11.922  170.000   1.000
 12.021   99.000   1.000
 12.141  119.000   1.000
 12.271  130.000   1.000
 12.381  109.000   1.000
 12.521  140.000   1.000
 12.631  110.000   1.000
 12.761  129.000   1.000
 12.921  160.000   1.000
 13.011   89.000   1.000
 13.151  139.000   2.000
 13.341  190.000   1.000
 13.391   49.000   1.000
 13.551  159.000   1.000
 13.631   79.000   1.000
 13.761  129.000   2.000
 13.881  119.000   2.000
 14.021  140.000   1.000
 14.131  110.000   1.000
 14.271  139.000   1.000
 14.381  109.000   1.000
 14.521  140.000   1.000
 14.651  129.000   2.000
 14.752  100.000   1.000
 14.882  130.000   1.000
 15.003  120.000   2.000
 15.132  129.000   1.000
 15.252  120.000   1.000
 15.392  139.000   1.000
 15.502  110.000   2.000
 15.632  129.000   1.000
 15.751  120.000   1.000
 15.881  129.000   1.000
 16.001  120.000   1.000
 16.132  129.000   1.000
 16.251  119.000   1.000
 16.391  140.000   1.000
 16.511  120.000   1.000
 16.641  129.000   1.000
 16.761  119.000   1.000
 16.881  119.000   1.000
 17.012  130.000   1.000
 17.141  129.000   1.000
 17.261  119.000   1.000
 17.391  129.000   1.000
 17.511  120.000   2.000
 17.631  119.000   2.000
 17.761  129.000   2.000
 17.881  119.000   2.000
 18.021  140.000   1.000
 18.131  109.000   1.000
 18.281  149.000   2.000
 18.391  110.000   1.000
 18.511  119.000   1.000
 18.631  119.000   1.000
 18.752  121.000   1.000
 18.881  128.000   1.000
 19.002  121.000   1.000
 19.142  139.000   2.000
 19.252  109.000   1.000
 19.382  130.000   2.000
 19.502  119.000   2.000
 19.652  150.000   2.000
 19.752   99.000   1.000
 19.882  129.000   2.000
 20.002  120.000   2.000
 20.132  129.000   2.000
 20.252  120.000   2.000
 20.381  129.000   1.000
 20.502  120.000   2.000
 20.631  129.000   1.000
 20.761  130.000   1.000
 20.881  119.000   1.000
 21.011  130.000   1.000
 21.131  119.000   1.000
 21.272  140.000   2.000
 21.381  109.000   1.000
 21.512  130.000   2.000
 21.641  129.000   1.000
 21.761  119.000   1.000
 21.921  160.000   1.000
 22.011   89.000   1.000
 22.151  139.000   1.000
 22.291  139.000   1.000
 22.412  120.000   2.000
 22.510   99.000   1.000
 22.631  119.000   2.000
 22.762  130.000   1.000
 22.881  119.000   1.000
 23.002  121.000   1.000
 23.132  129.000   1.000
 23.252  120.000   1.000
 23.412  159.000   1.000
 23.502   90.000   1.000
 23.642  139.000   1.000
 23.751  109.000   1.000
 23.881  129.000   1.000
 24.002  120.000   1.000
 24.132  129.000   2.000
 24.251  120.000   1.000
 24.382  129.000   1.000
 24.532  150.000   1.000
 24.631   99.000   1.000
 24.761  129.000   1.000
 24.881  120.000   1.000
 25.022  140.000   2.000
 25.131  109.000   1.000
 25.261  129.000   1.000
 25.381  119.000   1.000
 25.522  140.000   2.000
 25.641  119.000   1.000
 25.761  119.000   1.000
 25.881  120.000   1.000
 26.011  129.000   1.000
 26.131  119.000   2.000
 26.261  129.000   2.000
 26.381  120.000   2.000
 26.511  129.000   2.000
 26.631  119.000   2.000
 26.762  130.000   1.000
 26.911  149.000   1.000
 27.002   90.000   1.000
 27.162  160.000   1.000
 27.252   90.000   2.000
 27.392  139.000   2.000
 27.502  110.000   1.000
 27.632  130.000   2.000
 27.752  119.000   1.000
 27.882  130.000   1.000
 28.002  120.000   2.000
 28.132  129.000   2.000
 28.252  120.000   2.000
 28.392  139.000   2.000
 28.513  121.000   2.000
 28.631  118.000   1.000
 28.761  130.000   1.000
 28.881  119.000   1.000
 29.012  130.000   2.000
 29.153  141.000   2.000
 29.252   98.000   2.000
 29.403  150.000   2.000
 29.511  108.000   1.000
 29.632  120.000   2.000
 29.752  120.000   2.000
 29.881  128.000   2.000
 30.012  130.000   2.000
 30.152  140.000   2.000
 30.261  109.000   2.000
 30.381  119.000   2.000
 30.521  140.000   1.000
 30.631  109.000   1.000
 30.771  140.000   2.000
 30.881  109.000   1.000
 31.003  121.000   2.000
 31.142  139.000   1.000
 31.252  109.000   1.000
 31.382  129.000   2.000
 31.502  119.000   2.000
 31.632  129.000   2.000
 31.751  119.000   1.000
 31.882  130.000   1.000
 32.002  119.000   2.000
 32.132  130.000   1.000
 32.252  120.000   2.000
 32.381  129.000   1.000
 32.512  130.000   2.000
 32.632  119.000   2.000
 32.761  130.000   1.000
 32.901  140.000   1.000
 33.011  109.000   1.000
 33.141  129.000   1.000
 33.261  119.000   1.000
 33.381  120.000   2.000
 33.531  149.000   2.000
 33.631   99.000   1.000
 33.772  140.000   2.000
 33.891  119.000   2.000
 34.011  120.000   1.000
