  3.973 3973.000   0.000
  4.058   85.000   0.000
  4.142   84.000   0.000
  4.191   48.000   0.000
  4.193    2.000   0.000
  4.195    1.000   0.000
  4.526  326.000   3.000
  5.022  498.000   1.000
  5.513  489.000   2.000
  6.013  499.000   2.000
  6.513  500.000   2.000
  7.013  499.000   2.000
  7.524  510.000   2.000
  8.023  499.000   2.000
  8.525  501.000   2.000
  9.025  499.000   3.000
  9.525  500.000   3.000
 10.026  500.000   3.000
 10.529  499.000   6.000
 11.026  499.000   4.000
 11.515  489.000   3.000
 12.017  500.000   5.000
 12.519  501.000   5.000
 13.018  499.000   5.000
 13.519  500.000   5.000
 14.019  499.000   5.000
 14.521  499.000   8.000
 15.018  499.000   5.000
 15.521  499.000   8.000
 16.018  499.000   5.000
 16.519  500.000   5.000
 17.019  499.000   5.000
 17.521  499.000   8.000
 18.019  500.000   5.000
 18.521  499.000   8.000
 19.018  499.000   5.000
 19.521  499.000   8.000
 20.018  499.000   5.000
 20.522  500.000   8.000
 21.019  499.000   5.000
 21.522  499.000   8.000
 22.019  499.000   5.000
 22.522  504.000   3.000
 23.018  494.000   5.000
 23.521  499.000   8.000
 24.018  500.000   5.000
 24.519  500.000   5.000
 25.019  499.000   5.000
 25.521  500.000   8.000
 26.018  499.000   5.000
 26.521  499.000   8.000
 27.018  499.000   5.000
 27.521  499.000   8.000
 28.018  499.000   5.000
 28.519  500.000   5.000
 29.019  499.000   5.000
 29.521  499.000   8.000
 30.019  499.000   5.000
 30.521  499.000   8.000
 31.018  499.000   5.000
 31.521  499.000   8.000
 32.018  499.000   5.000
 32.519  500.000   5.000
 33.019  499.000   5.000
 33.521  499.000   8.000
 34.019  499.000   5.000
 34.519  499.000   5.000
 35.018  499.000   5.000
 35.520  500.000   7.000
 36.018  499.000   5.000
 36.521  501.000   7.000
 37.019  499.000   5.000
 37.521  499.000   7.000
 38.018  499.000   5.000
 38.521  499.000   8.000
 39.018  499.000   5.000
 39.521  499.000   8.000
 40.018  500.000   5.000
 40.521  500.000   7.000
 41.019  499.000   5.000
 41.521  499.000   7.000
