  3.808 3807.000   0.000
  4.060  252.000   0.000
  4.311  251.000   0.000
  4.317    5.000   0.000
  4.319    2.000   0.000
  4.323    3.000   0.000
  4.324    1.000   0.000
  4.326    1.000   0.000
  4.328    1.000   0.000
  4.330    1.000   0.000
  4.332    1.000   0.000
  4.334    1.000   0.000
  4.336    1.000   0.000
  4.338    1.000   0.000
  4.339    1.000   0.000
  4.341    1.000   0.000
  4.343    1.000   0.000
  4.345    1.000   0.000
  4.347    1.000   0.000
  4.349    1.000   0.000
  4.350    1.000   0.000
  4.362   11.000   0.000
  4.369    6.000   0.000
  4.372    3.000   0.000
  4.375    2.000   0.000
  4.377    2.000   0.000
  4.379    1.000   0.000
  4.383    4.000   0.000
  4.386    3.000   0.000
  4.388    1.000   0.000
  4.391    2.000   0.000
  4.395    2.000   2.000
  4.398    5.000   0.000
  4.400    1.000   0.000
  4.402    2.000   0.000
  4.406    3.000   0.000
  4.409    2.000   1.000
  4.412    4.000   0.000
  4.414    1.000   0.000
  4.418    3.000   0.000
  4.419    1.000   0.000
  4.421    1.000   0.000
  4.426    4.000   0.000
  4.427    1.000   0.000
  4.431    3.000   0.000
  4.433    1.000   0.000
  4.436    3.000   0.000
  4.441    4.000   0.000
  4.442    1.000   0.000
  4.446    2.000   1.000
  4.449    4.000   0.000
  4.451    2.000   0.000
  4.454    2.000   0.000
  4.455    1.000   0.000
  4.457    1.000   0.000
  4.460    3.000   0.000
  4.462    1.000   0.000
  4.467    4.000   0.000
  4.469    2.000   0.000
  4.471    1.000   0.000
  4.474    3.000   0.000
  4.476    1.000   0.000
  4.484    6.000   1.000
  4.486    3.000   0.000
  4.488    1.000   0.000
  4.493    4.000   0.000
  4.495    2.000   0.000
  4.497    2.000   0.000
  4.499    1.000   0.000
  4.502    2.000   0.000
  4.506    4.000   0.000
  4.508    2.000   0.000
  4.514    6.000   0.000
  4.516    2.000   0.000
  4.519    2.000   0.000
  4.521    1.000   0.000
  4.525    4.000   0.000
  4.526    1.000   0.000
  4.538   11.000   0.000
  4.539    1.000   0.000
  4.548    8.000   0.000
  4.558   10.000   0.000
  4.568    9.000   0.000
  4.577    9.000   0.000
  4.588   10.000   0.000
  4.597    9.000   0.000
  4.608   10.000   0.000
  4.627   19.000   0.000
  4.637    9.000   0.000
  4.647    9.000   0.000
  4.657   10.000   0.000
  4.667   10.000   0.000
  4.677    9.000   0.000
  4.687   10.000   0.000
  4.697    9.000   0.000
