  4.373 4370.000   3.000
  4.624  252.000   1.000
  5.041  417.000   1.000
  5.182  140.000   1.000
  5.185    3.000   1.000
  5.188    3.000   1.000
  5.190    1.000   0.000
  5.192    1.000   1.000
  5.194    2.000   1.000
  5.196    1.000   0.000
  5.197    1.000   1.000
  5.199    1.000   1.000
  5.201    1.000   1.000
  5.203    1.000   1.000
  5.205    1.000   1.000
  5.207    1.000   1.000
  5.208    1.000   1.000
  5.210    1.000   0.000
  5.212    1.000   1.000
  5.214    1.000   0.000
  5.216    2.000   0.000
  5.218    1.000   1.000
  5.220    2.000   1.000
  5.230    1.000   9.000
  5.241   15.000   4.000
  5.245    6.000   3.000
  5.247    3.000   0.000
  5.248    1.000   1.000
  5.254    4.000   1.000
  5.257    2.000   1.000
  5.259    3.000   1.000
  5.263    3.000   1.000
  5.265    1.000   1.000
  5.270    4.000   1.000
  5.271    1.000   0.000
  5.276    4.000   1.000
  5.277    1.000   0.000
  5.280    2.000   1.000
  5.283    2.000   1.000
  5.287    2.000   3.000
  5.292    6.000   1.000
  5.293    1.000   0.000
  5.296    2.000   1.000
  5.300    4.000   1.000
  5.303    1.000   2.000
  5.305    2.000   1.000
  5.307    1.000   1.000
  5.310    3.000   1.000
  5.312    1.000   1.000
  5.313    1.000   0.000
  5.319    5.000   1.000
  5.321    2.000   1.000
  5.325    1.000   3.000
  5.327    4.000   1.000
  5.329    2.000   1.000
  5.332    2.000   1.000
  5.334    1.000   1.000
  5.338    2.000   3.000
  5.341    4.000   1.000
  5.347    2.000   5.000
  5.350    6.000   1.000
  5.353    3.000   1.000
  5.355    2.000   1.000
  5.360    2.000   3.000
  5.362    4.000   1.000
  5.364    2.000   1.000
  5.367    2.000   1.000
  5.369    2.000   1.000
  5.371    2.000   1.000
  5.373    1.000   1.000
  5.375    2.000   1.000
  5.377    1.000   1.000
  5.378    1.000   0.000
  5.386    1.000   7.000
  5.389    8.000   1.000
  5.399    2.000   9.000
  5.403   10.000   2.000
  5.405    3.000   1.000
  5.424   18.000   1.000
  5.434    9.000   2.000
  5.444   10.000   2.000
  5.454    9.000   1.000
  5.474   20.000   2.000
  5.494   19.000   2.000
  5.504    9.000   2.000
  5.524   20.000   2.000
  5.533    9.000   1.000
  5.543   10.000   1.000
  5.583   40.000   1.000
  5.643   59.000   1.000
  5.713   70.000   1.000
  5.773   60.000   1.000
  5.843   70.000   1.000
  5.893   49.000   1.000
  5.963   70.000   1.000
  6.033   69.000   1.000
  6.083   50.000   1.000
  6.143   59.000   1.000
  6.213   70.000   1.000
  6.273   60.000   1.000
  6.333   60.000   1.000
  6.393   59.000   1.000
  6.453   60.000   1.000
  6.513   59.000   1.000
  6.573   59.000   1.000
  6.643   69.000   1.000
  6.703   60.000   1.000
  6.773   69.000   1.000
  6.823   50.000   1.000
  6.883   59.000   1.000
  6.964   80.000   2.000
  7.023   59.000   1.000
  7.073   50.000   1.000
  7.133   59.000   1.000
  7.193   60.000   1.000
  7.263   69.000   1.000
  7.343   80.000   1.000
  7.393   49.000   1.000
  7.443   50.000   1.000
  7.503   60.000   1.000
  7.613  109.000   1.000
  7.633   19.000   1.000
  7.693   59.000   1.000
  7.753   59.000   1.000
  7.823   70.000   1.000
  7.883   59.000   1.000
  7.943   60.000   1.000
  8.003   60.000   1.000
  8.063   59.000   1.000
  8.133   69.000   1.000
  8.203   70.000   1.000
  8.254   50.000   1.000
  8.313   58.000   1.000
  8.383   71.000   1.000
  8.454   70.000   1.000
  8.503   48.000   1.000
  8.563   60.000   1.000
  8.664  100.000   1.000
  8.683   19.000   1.000
  8.763   79.000   1.000
  8.833   70.000   1.000
  8.873   39.000   1.000
  8.964   90.000   1.000
  9.004   39.000   1.000
  9.074   70.000   1.000
  9.123   49.000   1.000
  9.183   59.000   1.000
  9.243   59.000   1.000
  9.303   59.000   1.000
  9.373   69.000   1.000
  9.433   59.000   1.000
  9.493   59.000   1.000
  9.553   60.000   1.000
  9.613   60.000   1.000
  9.673   59.000   1.000
  9.753   79.000   1.000
  9.823   70.000   1.000
  9.863   39.000   1.000
  9.923   59.000   1.000
  9.984   60.000   1.000
 10.074   90.000   1.000
 10.113   39.000   1.000
 10.173   59.000   1.000
 10.233   60.000   1.000
 10.293   59.000   1.000
 10.363   69.000   1.000
 10.423   60.000   1.000
 10.483   60.000   1.000
 10.563   80.000   1.000
 10.603   39.000   1.000
 10.673   70.000   1.000
 10.733   59.000   1.000
 10.793   60.000   1.000
 10.853   60.000   1.000
 10.923   69.000   1.000
 10.983   59.000   1.000
 11.043   60.000   1.000
 11.113   70.000   1.000
 11.193   79.000   1.000
 11.233   39.000   1.000
 11.293   59.000   1.000
 11.353   59.000   1.000
 11.423   70.000   1.000
 11.473   50.000   1.000
 11.543   69.000   1.000
 11.603   60.000   1.000
 11.663   59.000   1.000
 11.753   90.000   1.000
 11.793   39.000   1.000
 11.863   70.000   1.000
 11.923   59.000   1.000
 11.973   49.000   1.000
 12.043   69.000   1.000
 12.093   50.000   1.000
 12.163   69.000   1.000
 12.224   61.000   1.000
 12.284   59.000   1.000
 12.344   60.000   1.000
 12.404   60.000   1.000
 12.464   59.000   1.000
 12.534   69.000   1.000
 12.593   60.000   1.000
 12.674   80.000   1.000
 12.713   39.000   1.000
 12.793   80.000   1.000
 12.844   50.000   1.000
 12.904   59.000   1.000
 12.974   70.000   1.000
 13.024   49.000   1.000
 13.084   59.000   1.000
 13.154   69.000   1.000
 13.223   70.000   1.000
 13.274   49.000   1.000
 13.393  120.000   1.000
 13.404   10.000   1.000
 13.463   59.000   1.000
 13.524   59.000   1.000
 13.604   80.000   1.000
 13.644   39.000   1.000
 13.704   59.000   1.000
 13.773   69.000   1.000
