  4.319 4319.000   0.000
  4.572  252.000   0.000
  4.824  251.000   0.000
  4.829    5.000   0.000
  4.832    2.000   0.000
  4.835    3.000   0.000
  4.837    2.000   0.000
  4.839    1.000   0.000
  4.841    1.000   0.000
  4.843    2.000   0.000
  4.844    1.000   0.000
  4.846    1.000   0.000
  4.848    1.000   0.000
  4.850    1.000   0.000
  4.852    1.000   0.000
  4.854    1.000   0.000
  4.856    1.000   0.000
  4.857    1.000   0.000
  4.859    1.000   0.000
  4.861    1.000   0.000
  4.863    1.000   0.000
  4.873    9.000   0.000
  4.880    7.000   0.000
  4.884    4.000   0.000
  4.888    3.000   0.000
  4.890    1.000   0.000
  4.892    2.000   0.000
  4.896    3.000   0.000
  4.898    2.000   0.000
  4.901    2.000   0.000
  4.905    4.000   0.000
  4.907    2.000   0.000
  4.909    1.000   0.000
  4.913    4.000   0.000
  4.915    2.000   0.000
  4.919    3.000   0.000
  4.923    3.000   0.000
  4.924    1.000   0.000
  5.001   76.000   0.000
  5.130  128.000   0.000
  5.260  129.000   0.000
  5.380  119.000   0.000
  5.520  140.000   0.000
  5.630  109.000   0.000
  5.770  140.000   0.000
  5.910  140.000   0.000
  6.020  109.000   0.000
  6.140  119.000   0.000
  6.259  119.000   0.000
  6.390  130.000   0.000
  6.510  119.000   0.000
  6.629  119.000   0.000
  6.750  120.000   0.000
  6.879  128.000   0.000
  7.001  121.000   0.000
  7.130  129.000   0.000
  7.250  120.000   0.000
  7.390  139.000   0.000
  7.500  110.000   0.000
  7.630  129.000   0.000
  7.750  119.000   0.000
  7.880  130.000   0.000
  8.000  119.000   0.000
  8.130  129.000   0.000
  8.250  120.000   0.000
  8.400  149.000   0.000
  8.500   99.000   0.000
  8.630  129.000   0.000
  8.780  149.000   0.000
  8.910  130.000   0.000
  9.020  109.000   0.000
  9.130  109.000   0.000
  9.260  129.000   0.000
  9.380  120.000   0.000
  9.520  140.000   0.000
  9.630  109.000   0.000
  9.770  139.000   0.000
  9.880  109.000   0.000
