  4.222 4222.000   0.000
  4.310   87.000   0.000
  4.394   84.000   0.000
  4.447   52.000   0.000
  4.449    2.000   0.000
  4.453    3.000   0.000
  4.504   50.000   0.000
  5.014  508.000   2.000
  5.504  490.000   1.000
  6.013  509.000   1.000
  6.513  500.000   1.000
  7.004  490.000   1.000
  7.504  499.000   1.000
  8.005  500.000   2.000
  8.525  520.000   1.000
  9.015  489.000   2.000
  9.536  521.000   2.000
 10.028  491.000   2.000
 10.519  491.000   2.000
 11.028  508.000   2.000
 11.505  477.000   2.000
 12.006  500.000   2.000
 12.517  511.000   2.000
 13.017  499.000   3.000
 13.516  499.000   2.000
 14.018  501.000   3.000
 14.509  490.000   4.000
 15.007  499.000   2.000
 15.528  521.000   3.000
 16.013  480.000   7.000
 16.528  519.000   3.000
 17.016  488.000   2.000
 17.516  500.000   3.000
 18.018  501.000   3.000
 18.516  498.000   2.000
 19.010  491.000   5.000
 19.510  500.000   5.000
 20.008  499.000   3.000
 20.516  508.000   2.000
 21.017  500.000   3.000
 21.517  499.000   3.000
 22.021  501.000   6.000
 22.512  489.000   7.000
 23.007  499.000   2.000
 23.510  500.000   5.000
 24.011  500.000   6.000
 24.510  499.000   5.000
 25.041  531.000   5.000
 25.511  470.000   5.000
 26.020  508.000   5.000
 26.520  500.000   5.000
 27.023  502.000   6.000
 27.511  487.000   5.000
 28.010  499.000   5.000
 28.509  499.000   4.000
 29.030  521.000   3.000
 29.530  499.000   4.000
 30.020  488.000   5.000
 30.522  499.000   7.000
 31.011  490.000   5.000
 31.522  511.000   5.000
 32.015  494.000   4.000
 32.512  496.000   5.000
 33.042  529.000   5.000
 33.522  477.000   7.000
 34.019  499.000   4.000
 34.509  490.000   4.000
 35.008  499.000   3.000
 35.545  536.000   4.000
 36.032  487.000   3.000
 36.511  476.000   5.000
 37.011  501.000   4.000
 37.521  509.000   5.000
 38.008  488.000   3.000
 38.520  510.000   4.000
 39.013  494.000   3.000
 39.539  525.000   4.000
 40.009  469.000   5.000
 40.519  509.000   4.000
 41.039  521.000   3.000
 41.521  479.000   6.000
 42.021  499.000   5.000
 42.539  521.000   3.000
 43.021  479.000   5.000
 43.508  488.000   4.000
 44.019  511.000   3.000
 44.520  499.000   5.000
 45.012  492.000   5.000
 45.507  497.000   2.000
 46.029  521.000   3.000
 46.521  488.000   6.000
 47.012  493.000   4.000
 47.538  527.000   2.000
 48.010  469.000   5.000
 48.542  532.000   5.000
 49.043  500.000   5.000
 49.510  467.000   4.000
 50.011  500.000   4.000
 50.522  512.000   3.000
 51.023  497.000   7.000
 51.518  499.000   3.000
 52.013  490.000   8.000
 52.510  499.000   5.000
 53.012  503.000   3.000
 53.508  495.000   4.000
 54.020  512.000   3.000
 54.518  498.000   3.000
 55.009  489.000   4.000
 55.510  500.000   5.000
 56.012  500.000   6.000
 56.522  510.000   6.000
 57.021  499.000   4.000
 57.519  498.000   5.000
 58.010  490.000   5.000
 58.511  500.000   5.000
 59.024  515.000   3.000
 59.507  483.000   2.000
 60.011  501.000   5.000
 60.507  498.000   3.000
 61.007  499.000   2.000
 61.520  512.000   3.000
 62.021  498.000   5.000
 62.531  511.000   4.000
 63.008  478.000   3.000
 63.513  504.000   4.000
 64.014  496.000   7.000
 64.513  501.000   5.000
 65.013  500.000   4.000
 65.520  506.000   5.000
 66.010  492.000   3.000
 66.540  527.000   5.000
 67.008  470.000   2.000
 67.529  521.000   3.000
 68.012  480.000   5.000
 68.518  507.000   3.000
 69.010  489.000   5.000
 69.517  509.000   2.000
 70.022  504.000   3.000
 70.519  496.000   3.000
 71.010  489.000   5.000
 71.508  500.000   3.000
 72.011  499.000   5.000
 72.510  499.000   5.000
 73.011  501.000   5.000
 73.518  508.000   4.000
 74.021  500.000   6.000
 74.509  490.000   3.000
 75.042  530.000   5.000
 75.522  481.000   3.000
 76.013  489.000   6.000
 76.507  497.000   3.000
 77.019  509.000   4.000
 77.516  499.000   2.000
 78.040  523.000   3.000
 78.539  497.000   5.000
 79.012  471.000   6.000
 79.507  498.000   3.000
 80.032  522.000   5.000
 80.532  501.000   4.000
 81.008  476.000   3.000
 81.517  509.000   3.000
 82.012  493.000   5.000
 82.521  508.000   4.000
 83.031  511.000   3.000
 83.511  477.000   5.000
 84.014  502.000   5.000
 84.518  506.000   3.000
 85.011  490.000   6.000
 85.519  509.000   5.000
 86.012  492.000   5.000
 86.510  497.000   5.000
 87.011  500.000   5.000
 87.511  499.000   5.000
 88.042  531.000   5.000
 88.510  468.000   5.000
 89.038  530.000   3.000
 89.510  469.000   5.000
 90.020  509.000   5.000
 90.507  489.000   3.000
 91.033  523.000   5.000
 91.510  477.000   5.000
 92.011  500.000   6.000
 92.511  501.000   4.000
 93.021  508.000   5.000
 93.517  498.000   3.000
 94.020  501.000   5.000
 94.522  502.000   5.000
 95.007  487.000   3.000
 95.544  534.000   4.000
 96.039  496.000   3.000
 96.510  469.000   5.000
 97.010  499.000   5.000
 97.517  509.000   2.000
 98.012  491.000   6.000
 98.518  509.000   3.000
 99.040  520.000   4.000
 99.508  469.000   3.000
100.011  500.000   5.000
100.519  509.000   4.000
101.012  491.000   6.000
101.521  509.000   5.000
102.020  499.000   5.000
102.510  490.000   5.000
103.013  501.000   6.000
103.518  509.000   3.000
104.012  491.000   6.000
104.510  498.000   5.000
105.011  500.000   6.000
105.540  529.000   4.000
106.023  481.000   5.000
106.552  528.000   6.000
107.013  459.000   8.000
107.510  500.000   5.000
108.007  499.000   3.000
108.516  509.000   2.000
109.020  501.000   5.000
109.522  500.000   6.000
110.022  499.000   6.000
110.523  502.000   5.000
111.011  487.000   5.000
111.521  509.000   5.000
112.011  490.000   6.000
112.521  509.000   6.000
113.020  499.000   5.000
113.520  500.000   5.000
114.010  489.000   5.000
114.519  510.000   4.000
115.008  490.000   3.000
115.507  499.000   3.000
116.009  500.000   5.000
116.507  499.000   3.000
117.011  500.000   5.000
117.515  505.000   5.000
118.015  499.000   5.000
118.531  515.000   5.000
119.011  479.000   6.000
119.513  499.000   7.000
120.043  531.000   6.000
120.530  489.000   4.000
121.020  489.000   5.000
121.522  499.000   7.000
122.021  502.000   4.000
122.511  489.000   5.000
123.014  501.000   6.000
123.510  497.000   5.000
124.021  510.000   5.000
124.512  490.000   6.000
125.010  499.000   5.000
125.520  509.000   5.000
126.021  500.000   6.000
126.509  489.000   5.000
127.012  501.000   6.000
127.509  498.000   4.000
128.012  501.000   6.000
128.521  509.000   5.000
129.031  510.000   5.000
129.513  480.000   7.000
130.020  508.000   5.000
130.512  493.000   3.000
131.013  497.000   7.000
131.510  498.000   5.000
132.012  499.000   7.000
132.513  504.000   3.000
133.014  498.000   5.000
133.533  519.000   5.000
134.043  509.000   6.000
134.521  478.000   5.000
135.014  492.000   5.000
135.512  497.000   6.000
136.012  500.000   6.000
136.522  510.000   6.000
137.023  500.000   7.000
137.540  519.000   3.000
138.018  477.000   3.000
138.515  491.000   9.000
139.034  523.000   5.000
139.513  476.000   6.000
140.011  499.000   6.000
140.514  500.000   7.000
141.015  500.000   8.000
141.522  509.000   6.000
142.011  489.000   5.000
142.510  499.000   5.000
143.013  501.000   7.000
143.513  501.000   5.000
144.025  511.000   5.000
144.515  489.000   6.000
145.023  507.000   7.000
