  4.376 4374.000   1.000
  4.625  250.000   0.000
  5.041  416.000   0.000
  5.183  141.000   0.000
  5.186    3.000   0.000
  5.189    2.000   0.000
  5.190    1.000   0.000
  5.192    2.000   0.000
  5.194    2.000   0.000
  5.196    1.000   0.000
  5.197    1.000   0.000
  5.199    1.000   0.000
  5.201    1.000   0.000
  5.203    1.000   0.000
  5.205    1.000   0.000
  5.207    1.000   0.000
  5.209    1.000   0.000
  5.210    1.000   0.000
  5.212    1.000   0.000
  5.214    1.000   0.000
  5.216    2.000   0.000
  5.218    1.000   0.000
  5.220    1.000   0.000
  5.231   10.000   0.000
  5.241   10.000   0.000
  5.246    4.000   0.000
  5.247    1.000   0.000
  5.249    1.000   0.000
  5.254    5.000   0.000
  5.257    3.000   0.000
  5.259    2.000   0.000
  5.263    4.000   0.000
  5.266    2.000   0.000
  5.270    4.000   0.000
  5.273    1.000   1.000
  5.276    4.000   0.000
  5.278    1.000   0.000
  5.281    3.000   0.000
  5.283    2.000   0.000
  5.288    4.000   0.000
  5.292    4.000   0.000
  5.293    1.000   0.000
  5.297    3.000   0.000
  5.301    4.000   0.000
  5.303    2.000   0.000
  5.305    1.000   0.000
  5.307    1.000   0.000
  5.310    3.000   0.000
  5.312    1.000   0.000
  5.318    1.000   4.000
  5.320    5.000   0.000
  5.321    1.000   0.000
  5.325    4.000   0.000
  5.327    1.000   0.000
  5.330    2.000   0.000
  5.333    2.000   0.000
  5.335    1.000   0.000
  5.339    4.000   0.000
  5.341    2.000   0.000
  5.347    6.000   0.000
  5.351    2.000   0.000
  5.354    3.000   0.000
  5.356    2.000   0.000
  5.360    4.000   0.000
  5.362    2.000   0.000
  5.365    2.000   0.000
  5.368    3.000   0.000
  5.369    2.000   0.000
  5.372    2.000   0.000
  5.374    1.000   0.000
  5.375    1.000   0.000
  5.377    1.000   0.000
  5.379    1.000   0.000
  5.387    8.000   0.000
  5.389    2.000   0.000
  5.400   10.000   0.000
  5.403    3.000   0.000
  5.405    2.000   0.000
  5.424   18.000   0.000
  5.434   10.000   0.000
  5.445   10.000   0.000
  5.454    9.000   0.000
  5.475   20.000   0.000
  5.495   20.000   0.000
