  4.218 4217.000   0.000
  4.309   91.000   0.000
  4.393   84.000   0.000
  4.445   52.000   0.000
  4.448    3.000   0.000
  4.452    3.000   0.000
  4.503   50.000   0.000
  5.011  507.000   1.000
  5.501  490.000   1.000
  6.011  509.000   1.000
  6.511  499.000   1.000
  7.002  490.000   1.000
  7.501  499.000   1.000
  8.002  500.000   1.000
  8.522  520.000   1.000
  9.012  489.000   2.000
  9.533  521.000   2.000
 10.025  491.000   2.000
 10.512  486.000   2.000
 11.025  512.000   3.000
 11.502  477.000   2.000
 12.003  500.000   2.000
 12.514  511.000   3.000
 13.013  498.000   3.000
 13.512  499.000   2.000
 14.013  500.000   3.000
 14.504  490.000   3.000
 15.003  499.000   3.000
 15.524  520.000   3.000
 16.005  480.000   3.000
 16.524  520.000   3.000
 17.012  488.000   3.000
 17.513  499.000   3.000
 18.013  499.000   3.000
 18.512  499.000   3.000
 19.004  491.000   3.000
 19.504  499.000   4.000
 20.004  500.000   3.000
 20.513  509.000   3.000
 21.013  500.000   3.000
 21.513  499.000   3.000
 22.014  499.000   4.000
 22.504  490.000   3.000
 23.003  500.000   2.000
 23.504  499.000   4.000
 24.004  499.000   4.000
 24.503  500.000   3.000
 25.035  531.000   3.000
 25.505  470.000   3.000
 26.014  508.000   3.000
 26.514  500.000   3.000
 27.017  502.000   4.000
 27.504  487.000   4.000
 28.004  500.000   3.000
 28.503  499.000   3.000
 29.025  522.000   3.000
 29.525  499.000   3.000
 30.014  488.000   3.000
 30.513  499.000   3.000
 31.004  491.000   3.000
 31.515  510.000   4.000
 32.008  492.000   4.000
 32.505  496.000   4.000
 33.036  531.000   4.000
 33.513  477.000   4.000
 34.013  500.000   3.000
 34.504  491.000   2.000
 35.004  499.000   3.000
 35.538  532.000   5.000
 36.026  488.000   3.000
 36.504  477.000   4.000
 37.005  500.000   4.000
 37.515  510.000   4.000
 38.003  489.000   3.000
 38.514  510.000   3.000
 39.004  489.000   4.000
 39.534  530.000   3.000
 40.004  469.000   3.000
 40.513  509.000   3.000
 41.035  521.000   3.000
 41.514  478.000   4.000
 42.014  499.000   4.000
 42.535  521.000   3.000
 43.015  479.000   3.000
 43.503  488.000   3.000
 44.015  511.000   3.000
 44.514  498.000   3.000
 45.004  490.000   4.000
 45.503  500.000   3.000
 46.024  520.000   3.000
 46.514  488.000   4.000
 47.005  491.000   4.000
 47.535  531.000   2.000
 48.004  468.000   3.000
 48.536  531.000   4.000
 49.036  500.000   3.000
 49.504  468.000   3.000
 50.004  498.000   4.000
 50.516  511.000   4.000
 51.015  499.000   4.000
 51.514  499.000   4.000
 52.004  489.000   4.000
 52.504  500.000   4.000
 53.006  502.000   3.000
 53.503  497.000   3.000
 54.015  511.000   3.000
 54.514  498.000   3.000
 55.004  489.000   3.000
 55.504  499.000   4.000
 56.005  500.000   4.000
 56.515  510.000   4.000
 57.015  500.000   3.000
 57.513  498.000   3.000
 58.004  490.000   3.000
 58.504  500.000   3.000
 59.017  512.000   4.000
 59.503  486.000   3.000
 60.005  502.000   3.000
 60.503  497.000   3.000
 61.003  500.000   3.000
 61.514  510.000   3.000
 62.014  499.000   3.000
 62.525  511.000   3.000
 63.004  478.000   3.000
 63.507  503.000   3.000
 64.005  496.000   5.000
 64.506  500.000   5.000
 65.006  500.000   5.000
 65.514  509.000   4.000
 66.006  491.000   4.000
 66.533  528.000   3.000
 67.004  470.000   3.000
 67.525  521.000   3.000
 68.006  480.000   3.000
 68.514  507.000   3.000
 69.004  489.000   3.000
 69.513  510.000   3.000
 70.015  501.000   3.000
 70.514  498.000   4.000
 71.004  490.000   3.000
 71.505  500.000   3.000
 72.004  499.000   4.000
 72.504  499.000   3.000
 73.005  501.000   3.000
 73.513  508.000   3.000
 74.014  500.000   4.000
 74.505  490.000   4.000
 75.035  530.000   4.000
 75.516  480.000   4.000
 76.006  490.000   4.000
 76.503  497.000   3.000
 77.013  509.000   3.000
 77.513  500.000   3.000
 78.034  520.000   3.000
 78.533  499.000   3.000
 79.005  470.000   4.000
 79.503  499.000   3.000
 80.026  522.000   3.000
 80.526  499.000   4.000
 81.004  478.000   3.000
 81.513  510.000   3.000
 82.004  490.000   4.000
 82.514  509.000   4.000
 83.026  512.000   3.000
 83.504  477.000   4.000
 84.005  500.000   5.000
 84.513  509.000   3.000
 85.004  490.000   4.000
 85.513  509.000   4.000
 86.006  492.000   4.000
 86.504  498.000   3.000
 87.005  500.000   4.000
 87.504  498.000   4.000
 88.036  531.000   4.000
 88.504  468.000   4.000
 89.034  530.000   3.000
 89.504  470.000   3.000
 90.014  508.000   4.000
 90.503  490.000   3.000
 91.026  522.000   3.000
 91.504  477.000   4.000
 92.005  500.000   4.000
 92.504  499.000   4.000
 93.014  509.000   4.000
 93.513  499.000   3.000
 94.014  500.000   4.000
 94.515  500.000   4.000
 95.003  490.000   3.000
 95.537  531.000   4.000
 96.034  499.000   3.000
 96.504  468.000   4.000
 97.004  499.000   3.000
 97.513  509.000   3.000
 98.004  490.000   4.000
 98.513  509.000   4.000
 99.034  521.000   3.000
 99.504  469.000   3.000
100.004  499.000   4.000
100.513  509.000   3.000
101.004  489.000   4.000
101.514  509.000   4.000
102.013  499.000   4.000
102.503  490.000   3.000
103.005  499.000   5.000
103.514  510.000   4.000
104.005  491.000   4.000
104.504  498.000   4.000
105.004  500.000   4.000
105.534  530.000   3.000
106.016  481.000   4.000
106.544  528.000   4.000
107.004  459.000   3.000
107.504  499.000   4.000
108.003  500.000   3.000
108.513  509.000   3.000
109.014  500.000   4.000
109.515  500.000   4.000
110.014  499.000   4.000
110.516  500.000   5.000
111.004  489.000   4.000
111.514  509.000   4.000
112.004  489.000   4.000
112.514  509.000   4.000
113.013  499.000   4.000
113.514  500.000   3.000
114.004  489.000   4.000
114.514  510.000   3.000
115.004  489.000   4.000
115.503  500.000   3.000
116.003  499.000   3.000
116.503  500.000   3.000
117.004  499.000   4.000
117.508  503.000   4.000
118.007  498.000   5.000
118.525  519.000   3.000
119.004  479.000   4.000
119.504  499.000   4.000
120.035  530.000   4.000
120.524  490.000   3.000
121.014  488.000   4.000
121.513  499.000   4.000
122.014  500.000   4.000
122.505  490.000   4.000
123.006  500.000   5.000
123.504  498.000   4.000
124.014  510.000   4.000
124.505  489.000   4.000
125.004  499.000   4.000
125.513  509.000   4.000
126.014  499.000   4.000
126.503  490.000   3.000
127.005  500.000   4.000
127.503  499.000   3.000
128.005  499.000   4.000
128.514  510.000   4.000
129.025  510.000   4.000
129.505  478.000   5.000
130.014  509.000   4.000
130.506  492.000   4.000
131.005  498.000   4.000
131.504  499.000   4.000
132.004  500.000   3.000
132.506  501.000   4.000
133.006  498.000   5.000
133.526  521.000   4.000
134.036  509.000   4.000
134.514  478.000   4.000
135.006  490.000   5.000
135.505  499.000   4.000
136.005  499.000   5.000
136.515  509.000   5.000
137.015  500.000   5.000
137.534  520.000   3.000
138.013  478.000   4.000
138.505  490.000   4.000
139.027  521.000   5.000
139.505  478.000   5.000
140.004  500.000   4.000
140.505  500.000   5.000
141.006  499.000   5.000
141.515  509.000   5.000
142.004  490.000   4.000
142.504  499.000   4.000
143.005  499.000   5.000
143.505  500.000   5.000
144.017  511.000   5.000
144.506  488.000   6.000
145.015  510.000   5.000
145.526  512.000   4.000
146.014  487.000   5.000
146.504  490.000   3.000
147.026  521.000   5.000
147.526  499.000   5.000
148.027  500.000   4.000
148.505  477.000   5.000
149.015  509.000   5.000
149.535  520.000   5.000
150.007  470.000   6.000
150.514  508.000   5.000
151.005  491.000   4.000
151.504  499.000   4.000
152.004  500.000   4.000
152.515  509.000   5.000
153.027  512.000   5.000
153.525  498.000   5.000
