  4.192 4191.000   0.000
  4.281   89.000   0.000
  4.365   84.000   0.000
  4.414   48.000   0.000
  4.416    2.000   0.000
  4.419    2.000   0.000
  4.422    2.000   0.000
  4.425    3.000   0.000
  4.428    3.000   0.000
  4.432    3.000   0.000
  4.435    2.000   0.000
  4.438    2.000   0.000
  4.441    3.000   0.000
  4.444    2.000   0.000
  4.447    3.000   0.000
  4.450    2.000   0.000
  4.453    3.000   0.000
  4.465   11.000   0.000
  4.469    4.000   0.000
  4.473    3.000   0.000
  4.477    3.000   0.000
  4.481    4.000   0.000
  4.486    4.000   0.000
  4.490    4.000   0.000
  4.494    3.000   0.000
  4.498    4.000   0.000
  4.502    4.000   0.000
  4.507    4.000   0.000
  4.512    4.000   0.000
  4.516    4.000   0.000
  4.520    3.000   0.000
  4.524    4.000   0.000
  4.528    4.000   0.000
  4.532    3.000   0.000
  4.631   98.000   0.000
  4.751  119.000   0.000
  4.880  129.000   0.000
  5.001  120.000   0.000
  5.131  129.000   0.000
  5.251  119.000   0.000
  5.381  130.000   0.000
  5.501  120.000   0.000
  5.631  129.000   0.000
  5.751  119.000   0.000
  5.880  129.000   0.000
  6.001  120.000   0.000
  6.132  130.000   0.000
  6.252  119.000   0.000
  6.382  130.000   0.000
  6.502  120.000   0.000
  6.632  129.000   0.000
  6.752  119.000   0.000
  6.882  130.000   0.000
  7.002  120.000   0.000
  7.132  129.000   0.000
  7.252  119.000   0.000
  7.382  130.000   0.000
  7.502  120.000   0.000
  7.632  129.000   0.000
  7.751  119.000   0.000
  7.881  130.000   0.000
  8.002  119.000   0.000
  8.142  139.000   0.000
  8.251  109.000   0.000
  8.392  139.000   0.000
  8.502  110.000   0.000
  8.641  139.000   0.000
  8.751  109.000   0.000
  8.891  140.000   0.000
  9.001  109.000   0.000
  9.141  139.000   1.000
  9.251  109.000   0.000
  9.391  140.000   1.000
  9.501  110.000   0.000
  9.641  139.000   1.000
  9.751  109.000   0.000
  9.891  140.000   1.000
 10.001  109.000   0.000
 10.142  140.000   1.000
 10.252  109.000   0.000
 10.392  140.000   1.000
 10.501  108.000   0.000
 10.642  141.000   1.000
 10.752  109.000   0.000
 10.892  140.000   1.000
 11.002  110.000   1.000
 11.142  140.000   1.000
 11.252  109.000   1.000
 11.392  140.000   1.000
 11.502  110.000   1.000
 11.642  139.000   1.000
 11.752  109.000   1.000
 11.892  140.000   1.000
 12.002  109.000   1.000
 12.142  140.000   1.000
 12.252  109.000   1.000
 12.392  140.000   1.000
 12.502  109.000   1.000
 12.642  140.000   1.000
 12.752  109.000   1.000
 12.892  140.000   1.000
 13.002  109.000   1.000
 13.142  140.000   1.000
 13.251  109.000   1.000
 13.392  140.000   1.000
 13.501  109.000   1.000
 13.642  140.000   1.000
 13.751  109.000   1.000
 13.892  140.000   1.000
 14.001  110.000   1.000
 14.143  141.000   1.000
 14.252  109.000   1.000
 14.392  140.000   1.000
 14.503  110.000   1.000
 14.642  139.000   1.000
 14.752  109.000   1.000
 14.892  140.000   1.000
 15.003  110.000   1.000
 15.142  139.000   1.000
 15.252  109.000   1.000
 15.392  140.000   1.000
 15.502  110.000   1.000
 15.642  139.000   1.000
 15.752  109.000   1.000
 15.892  140.000   1.000
 16.002  109.000   1.000
 16.142  140.000   1.000
 16.252  109.000   1.000
 16.392  140.000   1.000
 16.502  110.000   1.000
 16.642  139.000   1.000
 16.752  109.000   1.000
 16.892  140.000   1.000
 17.002  109.000   1.000
 17.142  139.000   1.000
 17.252  109.000   1.000
 17.392  140.000   1.000
 17.502  110.000   1.000
 17.642  139.000   1.000
 17.751  109.000   1.000
 17.892  140.000   1.000
 18.001  109.000   1.000
 18.143  140.000   1.000
 18.252  109.000   1.000
 18.392  140.000   1.000
 18.503  110.000   1.000
 18.643  139.000   1.000
 18.752  109.000   1.000
 18.892  140.000   1.000
 19.002  110.000   1.000
 19.142  139.000   1.000
 19.252  109.000   1.000
 19.392  140.000   1.000
 19.502  110.000   1.000
 19.642  139.000   1.000
 19.752  109.000   1.000
 19.892  140.000   1.000
 20.002  109.000   1.000
 20.132  130.000   1.000
 20.252  119.000   1.000
 20.382  130.000   1.000
 20.502  119.000   1.000
 20.632  130.000   1.000
 20.752  119.000   1.000
 20.882  130.000   1.000
 21.002  120.000   1.000
 21.132  129.000   1.000
 21.252  119.000   1.000
 21.382  130.000   1.000
 21.502  119.000   1.000
 21.632  130.000   1.000
 21.751  119.000   1.000
 21.882  130.000   1.000
 22.003  121.000   1.000
 22.133  129.000   1.000
 22.252  119.000   1.000
 22.383  130.000   1.000
 22.503  120.000   1.000
 22.632  129.000   1.000
 22.752  119.000   1.000
 22.882  130.000   1.000
 23.002  120.000   1.000
 23.132  129.000   1.000
 23.252  119.000   1.000
 23.382  130.000   1.000
 23.502  120.000   1.000
 23.632  129.000   1.000
 23.752  119.000   1.000
 23.882  130.000   1.000
 24.002  119.000   1.000
 24.132  130.000   1.000
 24.252  119.000   1.000
 24.382  130.000   1.000
 24.502  119.000   1.000
 24.632  130.000   1.000
 24.752  119.000   1.000
 24.882  130.000   1.000
 25.002  120.000   1.000
 25.132  129.000   1.000
 25.252  119.000   1.000
 25.382  130.000   1.000
 25.502  119.000   1.000
 25.632  130.000   1.000
 25.751  119.000   1.000
 25.882  130.000   1.000
 26.002  120.000   1.000
 26.133  131.000   1.000
 26.252  119.000   1.000
 26.383  130.000   1.000
 26.503  120.000   1.000
 26.633  129.000   1.000
 26.752  119.000   1.000
 26.882  130.000   1.000
 27.002  120.000   1.000
 27.132  129.000   1.000
 27.252  119.000   1.000
 27.382  130.000   1.000
 27.502  119.000   1.000
 27.632  129.000   1.000
 27.752  119.000   1.000
 27.882  130.000   1.000
 28.002  119.000   1.000
 28.132  130.000   1.000
 28.252  119.000   1.000
 28.382  130.000   1.000
 28.502  119.000   1.000
 28.632  130.000   1.000
 28.752  119.000   1.000
 28.882  130.000   1.000
 29.002  120.000   1.000
 29.132  129.000   1.000
 29.252  119.000   1.000
 29.382  130.000   1.000
 29.502  119.000   1.000
 29.632  130.000   1.000
 29.751  119.000   1.000
 29.882  130.000   1.000
 30.003  121.000   1.000
 30.133  129.000   1.000
 30.252  119.000   1.000
 30.383  130.000   1.000
 30.503  120.000   1.000
 30.632  129.000   1.000
 30.752  119.000   1.000
 30.882  130.000   1.000
 31.002  120.000   1.000
 31.132  129.000   1.000
 31.252  119.000   1.000
 31.382  130.000   1.000
 31.502  120.000   1.000
 31.632  129.000   1.000
 31.752  119.000   1.000
 31.882  130.000   1.000
 32.002  119.000   1.000
 32.132  130.000   1.000
 32.252  119.000   1.000
