  4.194 4191.000   2.000
  4.280   88.000   1.000
  4.365   84.000   0.000
  4.414   48.000   1.000
  4.416    2.000   0.000
  4.420    3.000   0.000
  4.423    2.000   0.000
  4.426    3.000   0.000
  4.429    3.000   1.000
  4.432    2.000   0.000
  4.435    3.000   0.000
  4.438    2.000   0.000
  4.441    2.000   0.000
  4.444    3.000   0.000
  4.447    3.000   0.000
  4.450    2.000   0.000
  4.453    3.000   0.000
  4.465   11.000   1.000
  4.470    5.000   1.000
  4.474    4.000   1.000
  4.479    4.000   1.000
  4.483    3.000   1.000
  4.487    3.000   1.000
  4.491    4.000   1.000
  4.495    3.000   1.000
  4.499    4.000   1.000
  4.503    4.000   1.000
  4.508    4.000   1.000
  4.513    4.000   1.000
  4.517    4.000   1.000
  4.521    3.000   1.000
  4.525    4.000   1.000
  4.529    3.000   1.000
  4.533    4.000   1.000
  4.538    4.000   1.000
  4.542    4.000   1.000
  4.546    3.000   1.000
  4.550    4.000   1.000
  4.554    3.000   1.000
  4.558    4.000   1.000
  4.562    3.000   1.000
  4.566    3.000   1.000
  4.570    4.000   1.000
  4.574    4.000   1.000
  4.579    4.000   1.000
  4.583    3.000   1.000
  4.587    3.000   1.000
  4.591    4.000   1.000
  4.595    4.000   1.000
  4.599    3.000   1.000
  4.603    4.000   1.000
  4.607    3.000   1.000
  4.611    4.000   1.000
  4.615    4.000   1.000
  4.626   10.000   1.000
  4.635    9.000   1.000
  4.655   19.000   1.000
  4.666   11.000   1.000
  4.675    9.000   1.000
  4.685    9.000   1.000
  4.695    9.000   1.000
  4.705    9.000   1.000
  4.725   20.000   1.000
  4.735   10.000   1.000
  4.745   10.000   1.000
  4.755    9.000   1.000
  4.765   10.000   1.000
  4.785   19.000   1.000
  4.795   10.000   1.000
  4.805   10.000   1.000
  4.816   10.000   1.000
  4.826    9.000   1.000
  4.845   19.000   1.000
  4.854    8.000   1.000
  4.862    8.000   1.000
  4.873   10.000   1.000
  4.883    9.000   1.000
  4.903   19.000   1.000
  4.913   10.000   1.000
  4.923    9.000   1.000
  4.933    9.000   1.000
  4.943   10.000   1.000
  4.953    9.000   1.000
  4.963   10.000   1.000
  4.973    9.000   1.000
