  4.200 4200.000   0.000
  4.287   86.000   0.000
  4.371   84.000   0.000
  4.422   49.000   0.000
  4.424    2.000   0.000
  4.427    3.000   0.000
  4.431    3.000   0.000
  4.435    3.000   0.000
  4.439    3.000   0.000
  4.442    3.000   0.000
  4.445    2.000   0.000
  4.449    3.000   0.000
  4.452    3.000   0.000
  4.457    4.000   0.000
  4.469    4.000   8.000
  4.529   67.000   0.000
  4.756  226.000   1.000
  5.004  248.000   1.000
  5.255  250.000   0.000
  5.506  251.000   1.000
  5.755  248.000   1.000
  6.005  250.000   1.000
  6.285  279.000   1.000
  6.506  220.000   1.000
  6.755  249.000   1.000
  7.005  250.000   1.000
  7.265  259.000   1.000
  7.505  240.000   1.000
  7.775  269.000   1.000
  8.006  230.000   2.000
  8.276  271.000   1.000
  8.505  229.000   1.000
  8.755  249.000   1.000
  9.008  251.000   2.000
  9.257  248.000   1.000
  9.538  281.000   1.000
  9.756  218.000   1.000
 10.029  272.000   2.000
 10.258  229.000   1.000
 10.508  249.000   2.000
 10.757  249.000   1.000
 11.028  270.000   2.000
 11.256  228.000   1.000
 11.505  249.000   1.000
 11.765  260.000   1.000
 12.007  241.000   2.000
 12.257  250.000   2.000
 12.526  261.000   9.000
 12.767  248.000   1.000
 13.040  271.000   3.000
 13.257  217.000   2.000
 13.508  250.000   1.000
 13.778  270.000   2.000
 14.010  230.000   3.000
 14.269  260.000   2.000
 14.508  239.000   2.000
 14.757  248.000   1.000
 15.008  250.000   2.000
 15.257  249.000   2.000
 15.529  271.000   2.000
 15.787  259.000   2.000
 16.009  220.000   3.000
 16.258  249.000   1.000
 16.529  271.000   2.000
 16.757  227.000   1.000
 17.007  249.000   2.000
 17.258  250.000   2.000
 17.508  250.000   2.000
 17.758  249.000   2.000
 18.008  250.000   2.000
 18.257  249.000   2.000
 18.508  251.000   2.000
 18.757  249.000   1.000
 19.009  250.000   2.000
 19.291  281.000   3.000
 19.509  218.000   2.000
 19.756  248.000   1.000
 20.009  252.000   2.000
 20.258  249.000   2.000
 20.538  279.000   2.000
 20.759  220.000   2.000
 21.009  250.000   2.000
 21.258  249.000   2.000
 21.509  250.000   3.000
 21.759  249.000   2.000
 22.010  250.000   3.000
 22.264  253.000   3.000
 22.508  244.000   2.000
 22.756  249.000   1.000
 23.008  250.000   2.000
 23.259  250.000   2.000
 23.508  250.000   2.000
 23.758  249.000   2.000
 24.012  251.000   5.000
 24.259  249.000   3.000
 24.509  250.000   2.000
 24.781  271.000   2.000
 25.010  227.000   3.000
 25.262  250.000   4.000
 25.512  250.000   4.000
 25.757  247.000   1.000
 26.010  251.000   3.000
 26.281  270.000   3.000
 26.519  239.000   2.000
 26.758  238.000   2.000
 27.024  263.000   5.000
 27.258  237.000   2.000
 27.514  250.000   7.000
 27.758  248.000   2.000
 28.011  251.000   5.000
 28.259  249.000   2.000
 28.509  249.000   3.000
 28.757  249.000   1.000
 29.030  272.000   2.000
 29.281  251.000   2.000
 29.529  247.000   2.000
 29.759  229.000   2.000
 30.009  250.000   2.000
 30.257  248.000   2.000
 30.532  273.000   3.000
 30.757  226.000   2.000
 31.010  251.000   3.000
 31.259  248.000   2.000
 31.509  250.000   2.000
 31.758  249.000   2.000
 32.014  253.000   5.000
 32.264  249.000   6.000
 32.515  253.000   3.000
 32.761  245.000   4.000
 33.008  249.000   2.000
 33.260  251.000   2.000
 33.510  249.000   3.000
 33.758  248.000   2.000
 34.010  250.000   3.000
 34.263  252.000   3.000
 34.513  247.000   5.000
 34.757  248.000   1.000
 35.031  273.000   2.000
 35.270  239.000   2.000
 35.545  273.000   3.000
 35.758  214.000   2.000
 36.024  264.000   4.000
 36.258  235.000   2.000
 36.535  276.000   3.000
 36.758  224.000   2.000
 37.010  251.000   3.000
 37.286  276.000   3.000
 37.519  234.000   2.000
 37.758  238.000   2.000
 38.009  250.000   2.000
 38.258  249.000   2.000
 38.516  250.000   9.000
 38.759  249.000   2.000
 39.008  249.000   2.000
 39.258  249.000   2.000
 39.507  249.000   1.000
 39.758  250.000   2.000
 40.020  261.000   2.000
 40.289  269.000   2.000
 40.508  218.000   2.000
 40.757  249.000   1.000
 41.041  283.000   2.000
 41.282  240.000   3.000
 41.514  230.000   5.000
 41.759  247.000   2.000
 42.010  250.000   3.000
 42.258  249.000   2.000
 42.538  280.000   1.000
 42.758  219.000   2.000
 43.020  261.000   3.000
 43.257  237.000   2.000
 43.508  250.000   2.000
 43.769  261.000   2.000
 44.018  248.000   1.000
 44.258  239.000   2.000
 44.513  250.000   7.000
 44.759  250.000   2.000
 45.012  250.000   5.000
 45.258  249.000   2.000
 45.509  250.000   2.000
 45.758  249.000   2.000
 46.029  271.000   2.000
 46.258  229.000   2.000
 46.517  250.000  10.000
 46.764  253.000   3.000
 47.022  258.000   3.000
 47.256  235.000   1.000
 47.538  281.000   2.000
 47.757  218.000   2.000
 48.008  250.000   2.000
 48.281  271.000   3.000
 48.540  260.000   2.000
 48.779  239.000   2.000
 49.041  261.000   2.000
 49.292  250.000   3.000
 49.509  218.000   2.000
 49.792  281.000   3.000
 50.010  217.000   3.000
 50.259  249.000   2.000
 50.521  262.000   2.000
 50.759  237.000   2.000
 51.009  249.000   2.000
 51.294  283.000   5.000
 51.508  216.000   2.000
 51.778  270.000   2.000
 52.012  230.000   5.000
 52.259  249.000   2.000
 52.542  282.000   3.000
 52.758  217.000   2.000
 53.009  250.000   2.000
 53.289  280.000   2.000
 53.508  219.000   2.000
 53.759  250.000   2.000
 54.009  249.000   2.000
 54.260  250.000   3.000
