  3.811 3807.000   3.000
  4.060  252.000   1.000
  4.312  251.000   1.000
  4.318    5.000   1.000
  4.320    2.000   1.000
  4.323    3.000   1.000
  4.325    1.000   0.000
  4.327    1.000   1.000
  4.329    1.000   1.000
  4.331    1.000   0.000
  4.333    1.000   0.000
  4.334    1.000   0.000
  4.336    1.000   1.000
  4.338    1.000   1.000
  4.340    1.000   1.000
  4.342    1.000   0.000
  4.344    1.000   0.000
  4.346    1.000   1.000
  4.347    1.000   0.000
  4.349    1.000   1.000
  4.351    1.000   0.000
  4.362   11.000   1.000
  4.370    6.000   1.000
  4.374    3.000   1.000
  4.375    2.000   1.000
  4.378    2.000   0.000
  4.379    1.000   0.000
  4.384    4.000   1.000
  4.387    3.000   1.000
  4.389    1.000   0.000
  4.391    2.000   1.000
  4.395    2.000   2.000
  4.399    5.000   1.000
  4.402    1.000   1.000
  4.403    2.000   0.000
  4.406    3.000   1.000
  4.410    2.000   2.000
  4.413    4.000   1.000
  4.414    1.000   0.000
  4.419    3.000   1.000
  4.420    1.000   0.000
  4.424    1.000   3.000
  4.427    4.000   1.000
  4.429    1.000   1.000
  4.432    3.000   1.000
  4.433    1.000   0.000
  4.437    3.000   1.000
  4.441    4.000   1.000
  4.443    1.000   0.000
  4.447    2.000   2.000
  4.450    4.000   1.000
  4.453    2.000   1.000
  4.455    2.000   1.000
  4.456    1.000   1.000
  4.459    1.000   2.000
  4.461    3.000   1.000
  4.463    1.000   1.000
  4.468    4.000   1.000
  4.470    2.000   1.000
  4.471    1.000   0.000
  4.475    3.000   1.000
  4.477    1.000   1.000
  4.485    6.000   2.000
  4.487    3.000   1.000
  4.489    1.000   1.000
  4.493    4.000   1.000
  4.495    2.000   1.000
  4.498    2.000   1.000
  4.500    1.000   1.000
  4.504    2.000   3.000
  4.507    4.000   1.000
  4.513    2.000   5.000
  4.515    6.000   1.000
  4.518    2.000   1.000
  4.520    2.000   1.000
  4.524    1.000   3.000
  4.525    4.000   1.000
  4.527    1.000   1.000
  4.539   11.000   1.000
  4.541    1.000   1.000
  4.548    8.000   1.000
  4.560   10.000   2.000
  4.569    9.000   2.000
  4.579    9.000   1.000
  4.589   10.000   2.000
  4.599    9.000   1.000
  4.609   10.000   2.000
  4.629   19.000   1.000
  4.639    9.000   1.000
  4.649    9.000   1.000
  4.659   10.000   2.000
  4.669   10.000   2.000
  4.678    9.000   1.000
  4.688   10.000   1.000
  4.698    9.000   1.000
  4.708   10.000   1.000
  4.718   10.000   1.000
  4.728    9.000   1.000
  4.748   19.000   1.000
  4.758   10.000   1.000
  4.838   79.000   1.000
  4.848    9.000   1.000
  4.858   10.000   1.000
  4.868    9.000   0.000
  4.888   20.000   1.000
  4.908   20.000   1.000
  4.918   10.000   1.000
  4.938   19.000   1.000
  4.948    9.000   1.000
  4.958   10.000   1.000
  4.968    9.000   1.000
  4.988   19.000   1.000
  4.998   10.000   1.000
  5.008   10.000   1.000
  5.018    9.000   1.000
  5.028   10.000   1.000
  5.038    9.000   1.000
  5.048    9.000   1.000
  5.058   10.000   1.000
  5.068   10.000   1.000
  5.078   10.000   1.000
  5.088    9.000   1.000
  5.098    9.000   1.000
  5.108   10.000   1.000
  5.118   10.000   1.000
  5.128    9.000   1.000
  5.148   19.000   1.000
  5.158    9.000   1.000
  5.168   10.000   1.000
  5.178    9.000   1.000
  5.188   10.000   1.000
  5.208   19.000   1.000
  5.218   10.000   1.000
  5.238   20.000   1.000
  5.258   20.000   1.000
  5.288   29.000   1.000
  5.298   10.000   1.000
  5.308   10.000   1.000
  5.318    9.000   1.000
  5.328    9.000   1.000
  5.338   10.000   1.000
  5.378   39.000   1.000
  5.388    9.000   1.000
  5.398    9.000   1.000
  5.418   19.000   1.000
  5.428   10.000   1.000
  5.448   20.000   1.000
  5.458    9.000   1.000
  5.468    9.000   1.000
  5.488   20.000   1.000
  5.498   10.000   1.000
  5.508    9.000   1.000
  5.518    9.000   1.000
  5.528   10.000   1.000
  5.538   10.000   1.000
  5.548    9.000   1.000
  5.558    9.000   1.000
  5.578   20.000   1.000
  5.588   10.000   1.000
  5.608   20.000   1.000
  5.628   19.000   1.000
  5.638   10.000   1.000
  5.658   20.000   1.000
  5.668    9.000   1.000
  5.688   20.000   1.000
  5.698    9.000   1.000
  5.708   10.000   1.000
  5.718   10.000   1.000
  5.728   10.000   1.000
  5.748   19.000   1.000
  5.758    9.000   1.000
  5.778   20.000   1.000
  5.798   20.000   1.000
  5.808    9.000   1.000
  5.818    9.000   1.000
  5.828   10.000   1.000
  5.838    9.000   1.000
  5.858   20.000   1.000
  5.868   10.000   1.000
  5.878   10.000   1.000
  5.918   39.000   1.000
  5.928    9.000   1.000
  5.938    9.000   1.000
  5.948   10.000   1.000
  5.958   10.000   1.000
  5.968    9.000   1.000
  5.978    9.000   1.000
  5.988    9.000   1.000
  6.008   20.000   1.000
  6.018   10.000   1.000
  6.038   19.000   1.000
  6.048   10.000   1.000
  6.058   10.000   1.000
  6.068   10.000   1.000
  6.078   10.000   1.000
  6.118   39.000   1.000
  6.148   29.000   1.000
  6.188   39.000   1.000
  6.208   19.000   1.000
  6.238   29.000   1.000
  6.268   30.000   1.000
  6.298   30.000   1.000
  6.328   29.000   1.000
  6.358   30.000   1.000
  6.388   29.000   1.000
  6.438   49.000   1.000
  6.458   19.000   1.000
  6.488   30.000   1.000
  6.528   40.000   1.000
  6.548   19.000   1.000
  6.578   29.000   1.000
  6.608   29.000   1.000
  6.638   29.000   1.000
  6.678   40.000   1.000
  6.698   19.000   1.000
  6.758   60.000   1.000
  6.768   10.000   1.000
  6.808   39.000   1.000
  6.838   29.000   1.000
  6.859   21.000   1.000
  6.888   28.000   1.000
  6.919   30.000   1.000
  6.948   29.000   1.000
  7.028   79.000   1.000
  7.039   11.000   1.000
  7.049    9.000   1.000
  7.071   22.000   1.000
  7.109   37.000   1.000
  7.138   29.000   1.000
  7.169   30.000   1.000
  7.208   39.000   1.000
  7.238   29.000   1.000
  7.268   30.000   1.000
  7.289   20.000   1.000
  7.318   29.000   1.000
  7.349   30.000   1.000
  7.388   39.000   1.000
  7.418   30.000   1.000
  7.448   30.000   1.000
  7.478   29.000   1.000
  7.509   30.000   1.000
  7.538   29.000   1.000
  7.569   30.000   1.000
  7.598   29.000   1.000
  7.628   30.000   1.000
  7.659   30.000   1.000
  7.698   39.000   1.000
  7.728   30.000   1.000
  7.758   29.000   1.000
  7.799   40.000   1.000
  7.818   19.000   1.000
  7.868   50.000   1.000
  7.878   10.000   1.000
  7.908   29.000   1.000
  7.948   40.000   1.000
  7.968   19.000   1.000
  8.079  110.000   1.000
  8.088    9.000   1.000
  8.098   10.000   1.000
  8.108    9.000   1.000
  8.148   40.000   1.000
  8.178   29.000   1.000
  8.208   30.000   1.000
  8.248   40.000   1.000
  8.258   10.000   1.000
  8.278   19.000   1.000
  8.318   40.000   1.000
  8.378   60.000   1.000
  8.388    9.000   1.000
  8.418   29.000   1.000
  8.448   30.000   1.000
  8.488   39.000   1.000
  8.498    9.000   1.000
  8.528   29.000   1.000
  8.558   29.000   1.000
  8.588   30.000   1.000
  8.638   49.000   1.000
  8.658   19.000   1.000
  8.688   30.000   1.000
  8.718   29.000   1.000
  8.748   29.000   1.000
  8.788   40.000   1.000
  8.808   20.000   1.000
  8.838   30.000   1.000
  8.868   29.000   1.000
  8.898   29.000   1.000
