1300152307,13.08,09:25:07
1300152602,13.07,09:30:02
1300152607,13.05,09:30:07
1300152607,13.04,09:30:07
1300152617,13.05,09:30:17
1300152622,13.05,09:30:22
1300152627,13.05,09:30:27
1300152632,13.04,09:30:32
1300152637,13.04,09:30:37
1300152642,13.04,09:30:42
1300152647,13.05,09:30:47
1300152647,13.05,09:30:47
1300152657,13.05,09:30:57
1300152662,13.05,09:31:02
1300152667,13.05,09:31:07
1300152672,13.05,09:31:12
1300152677,13.04,09:31:17
1300152682,13.04,09:31:22
1300152687,13.05,09:31:27
1300152692,13.04,09:31:32
1300152697,13.03,09:31:37
1300152702,13.05,09:31:42
1300152707,13.04,09:31:47
1300152712,13.04,09:31:52
1300152717,13.03,09:31:57
1300152722,13.03,09:32:02
1300152727,13.03,09:32:07
1300152732,13.04,09:32:12
1300152737,13.03,09:32:17
1300152742,13.04,09:32:22
1300152747,13.04,09:32:27
1300152752,13.04,09:32:32
1300152757,13.04,09:32:37
1300152762,13.04,09:32:42
1300152767,13.04,09:32:47
1300152772,13.04,09:32:52
1300152777,13.04,09:32:57
1300152782,13.04,09:33:02
1300152787,13.04,09:33:07
1300152792,13.04,09:33:12
1300152797,13.05,09:33:17
1300152802,13.04,09:33:22
1300152807,13.03,09:33:27
1300152812,13.03,09:33:32
1300152817,13.03,09:33:37
1300152822,13.02,09:33:42
1300152827,13.03,09:33:47
1300152832,13.02,09:33:52
1300152837,13.02,09:33:57
1300152842,13.03,09:34:02
1300152847,13.03,09:34:07
1300152852,13.03,09:34:12
1300152857,13.0,09:34:17
1300152862,13.0,09:34:22
1300152867,13.0,09:34:27
1300152872,13.0,09:34:32
1300152877,13.0,09:34:37
1300152882,12.99,09:34:42
1300152887,13.0,09:34:47
1300152892,13.0,09:34:52
1300152897,13.01,09:34:57
1300152902,13.0,09:35:02
1300152907,13.0,09:35:07
1300152912,13.0,09:35:12
1300152922,13.0,09:35:22
1300152927,13.0,09:35:27
1300152932,13.0,09:35:32
1300152937,13.0,09:35:37
1300152942,12.99,09:35:42
1300152947,12.98,09:35:47
1300152952,13.0,09:35:52
1300152957,13.0,09:35:57
1300152962,12.99,09:36:02
1300152967,12.99,09:36:07
1300152972,12.99,09:36:12
1300152977,13.0,09:36:17
1300152982,12.99,09:36:22
1300152987,12.99,09:36:27
1300152992,13.0,09:36:32
1300152997,12.99,09:36:37
1300153002,12.99,09:36:42
1300153007,13.0,09:36:47
1300153012,12.98,09:36:52
1300153017,12.98,09:36:57
1300153022,12.98,09:37:02
1300153027,12.98,09:37:07
1300153032,12.98,09:37:12
1300153037,12.97,09:37:17
1300153042,12.97,09:37:22
1300153047,12.98,09:37:27
1300153052,12.95,09:37:32
1300153057,12.96,09:37:37
1300153062,12.96,09:37:42
1300153067,12.96,09:37:47
1300153072,12.97,09:37:52
1300153077,12.97,09:37:57
1300153082,12.97,09:38:02
1300153087,12.97,09:38:07
1300153092,12.97,09:38:12
1300153097,12.97,09:38:17
1300153102,12.96,09:38:22
1300153107,12.98,09:38:27
1300153112,12.98,09:38:32
