1300152302,17.8,72,128160,b,09:25:02
1300152607,17.63,219,386097,a,09:30:07
1300152632,17.73,76,134748,b,09:30:32
1300152662,17.72,15,26580,n,09:31:02
1300152667,17.72,2,3544,b,09:31:07
1300152687,17.68,37,65416,a,09:31:27
1300152697,17.68,3,5304,b,09:31:37
1300152702,17.72,48,85056,b,09:31:42
1300152717,17.7,7,12390,n,09:31:57
1300152737,17.72,1,1772,b,09:32:17
1300152747,17.7,1,1770,a,09:32:27
1300152752,17.72,11,19492,b,09:32:32
1300152762,17.72,10,17720,b,09:32:42
1300152767,17.7,12,21240,a,09:32:47
1300152792,17.71,10,17710,n,09:33:12
1300152797,17.7,21,37170,a,09:33:17
1300152802,17.7,4,7080,a,09:33:22
1300152807,17.7,10,17700,b,09:33:27
1300152812,17.7,1,1770,b,09:33:32
1300152822,17.68,15,26962,a,09:33:42
1300152832,17.66,13,24282,a,09:33:52
1300152842,17.66,115,203090,b,09:34:02
1300152852,17.65,5,8825,a,09:34:12
1300152857,17.65,3,5295,a,09:34:17
1300152862,17.65,18,31769,b,09:34:22
1300152872,17.64,30,52920,a,09:34:32
1300152877,17.65,8,14119,b,09:34:37
1300152882,17.65,5,8825,a,09:34:42
1300152892,17.65,30,52949,a,09:34:52
1300152897,17.65,5,8825,a,09:34:57
1300152902,17.64,275,485100,a,09:35:02
1300152907,17.64,10,17640,b,09:35:07
1300152912,17.65,30,52949,b,09:35:12
1300152932,17.66,3,5298,b,09:35:32
1300152952,17.65,9,15884,n,09:35:52
1300152957,17.71,5,8855,b,09:35:57
1300152987,17.63,129,227427,a,09:36:27
1300152992,17.63,1,1763,b,09:36:32
1300153002,17.7,82,145140,b,09:36:42
1300153007,17.7,18,31860,a,09:36:47
1300153032,17.66,15,26490,b,09:37:12
1300153037,17.66,5,8830,b,09:37:17
1300153052,17.66,22,38852,b,09:37:32
1300153067,17.66,15,26490,a,09:37:47
1300153072,17.7,3,5310,b,09:37:52
1300153077,17.66,10,17660,a,09:37:57
1300153082,17.7,1,1770,b,09:38:02
1300153097,17.7,10,17700,b,09:38:17
1300153102,17.66,7,12362,a,09:38:22
1300153107,17.7,79,139830,b,09:38:27
1300153112,17.7,10,17700,a,09:38:32
1300153132,17.7,39,69030,a,09:38:52
1300153162,17.7,100,177000,b,09:39:22
1300153167,17.68,11,19448,b,09:39:27
1300153182,17.71,5,8855,b,09:39:42
1300153192,17.7,79,139830,a,09:39:52
1300153202,17.7,10,17700,b,09:40:02
1300153212,17.71,59,104489,b,09:40:12
1300153217,17.72,54,95688,b,09:40:17
1300153222,17.71,5,8855,a,09:40:22
1300153227,17.71,7,12397,a,09:40:27
1300153232,17.67,66,116622,a,09:40:32
1300153252,17.7,8,14160,n,09:40:52
1300153257,17.67,14,24738,a,09:40:57
1300153262,17.71,50,88550,b,09:41:02
1300153277,17.68,25,44200,n,09:41:17
1300153287,17.68,5,8840,a,09:41:27
1300153292,17.67,18,31806,a,09:41:32
1300153307,17.68,5,8840,b,09:41:47
1300153312,17.67,5,8835,n,09:41:52
1300153322,17.68,2,3536,b,09:42:02
1300153332,17.7,5,8850,a,09:42:12
1300153337,17.7,1,1770,a,09:42:17
1300153352,17.7,20,35400,a,09:42:32
1300153362,17.7,22,38940,a,09:42:42
1300153367,17.68,8,14144,a,09:42:47
1300153377,17.68,51,90168,b,09:42:57
1300153392,17.68,22,38896,b,09:43:12
1300153402,17.68,20,35360,b,09:43:22
1300153427,17.67,2,3534,n,09:43:47
1300153442,17.67,2,3534,b,09:44:02
1300153447,17.67,34,60078,b,09:44:07
1300153462,17.67,1,1767,a,09:44:22
1300153472,17.68,1,1768,b,09:44:32
1300153472,17.67,22,38874,a,09:44:32
1300153482,17.67,5,8835,a,09:44:42
1300153487,17.68,20,35360,b,09:44:47
1300153497,17.67,34,60078,a,09:44:57
