1300152307,13.08,2773,3627084,b,09:25:07
1300152602,13.07,1240,1620680,a,09:30:02
1300152607,13.05,1351,1763055,a,09:30:07
1300152607,13.04,175,228199,a,09:30:07
1300152617,13.05,263,343215,b,09:30:17
1300152622,13.05,36,46980,b,09:30:22
1300152627,13.05,89,116145,b,09:30:27
1300152632,13.04,84,109536,a,09:30:32
1300152637,13.04,262,341648,a,09:30:37
1300152642,13.04,14,18256,a,09:30:42
1300152647,13.05,314,409770,b,09:30:47
1300152647,13.05,22,28710,b,09:30:47
1300152657,13.05,110,143550,b,09:30:57
1300152662,13.05,322,420210,b,09:31:02
1300152667,13.05,98,128124,b,09:31:07
1300152672,13.05,95,123975,b,09:31:12
1300152677,13.04,298,389661,a,09:31:17
1300152682,13.04,85,110840,b,09:31:22
1300152687,13.05,357,466380,b,09:31:27
1300152692,13.04,100,131208,a,09:31:32
1300152697,13.03,861,1122378,a,09:31:37
1300152702,13.05,13,16965,b,09:31:42
1300152707,13.04,54,70416,a,09:31:47
1300152712,13.04,894,1165802,a,09:31:52
1300152717,13.03,687,895395,a,09:31:57
1300152722,13.03,313,407839,a,09:32:02
1300152727,13.03,66,85998,a,09:32:07
1300152732,13.04,115,149960,b,09:32:12
1300152737,13.03,254,330962,a,09:32:17
1300152742,13.04,101,131704,b,09:32:22
1300152747,13.04,57,74328,b,09:32:27
1300152752,13.04,43,56071,b,09:32:32
1300152757,13.04,92,119967,b,09:32:37
1300152762,13.04,119,155176,b,09:32:42
1300152767,13.04,91,118663,b,09:32:47
1300152772,13.04,228,298472,b,09:32:52
1300152777,13.04,1068,1392672,a,09:32:57
1300152782,13.04,80,104320,a,09:33:02
1300152787,13.04,357,465527,a,09:33:07
1300152792,13.04,111,144744,b,09:33:12
1300152797,13.05,279,364095,b,09:33:17
1300152802,13.04,307,400328,a,09:33:22
1300152807,13.03,1242,1619016,a,09:33:27
1300152812,13.03,598,779194,b,09:33:32
1300152817,13.03,798,1039794,b,09:33:37
1300152822,13.02,1103,1436106,a,09:33:42
1300152827,13.03,1028,1340096,b,09:33:47
1300152832,13.02,274,357034,a,09:33:52
1300152837,13.02,3524,4588248,a,09:33:57
1300152842,13.03,648,844344,b,09:34:02
1300152847,13.03,29,37787,b,09:34:07
1300152852,13.03,127,165637,b,09:34:12
1300152857,13.0,3131,4070300,a,09:34:17
1300152862,13.0,1574,2046447,a,09:34:22
1300152867,13.0,602,782600,b,09:34:27
1300152872,13.0,163,211900,b,09:34:32
1300152877,13.0,450,585000,b,09:34:37
1300152882,12.99,1113,1445787,a,09:34:42
1300152887,13.0,371,483522,b,09:34:47
1300152892,13.0,2,2600,a,09:34:52
1300152897,13.01,42,54642,b,09:34:57
1300152902,13.0,89,115700,a,09:35:02
1300152907,13.0,684,889278,a,09:35:07
1300152912,13.0,280,364000,b,09:35:12
1300152922,13.0,1433,1862900,b,09:35:22
1300152927,13.0,233,302900,b,09:35:27
1300152932,13.0,238,310531,b,09:35:32
1300152937,13.0,586,761800,b,09:35:37
1300152942,12.99,375,487293,a,09:35:42
1300152947,12.98,246,319308,a,09:35:47
1300152952,13.0,88,114400,b,09:35:52
1300152957,13.0,122,158600,b,09:35:57
1300152962,12.99,116,150813,a,09:36:02
1300152967,12.99,162,210438,a,09:36:07
1300152972,12.99,191,248109,a,09:36:12
1300152977,13.0,23,29900,b,09:36:17
1300152982,12.99,191,249278,a,09:36:22
1300152987,12.99,73,94827,b,09:36:27
1300152992,13.0,73,95862,b,09:36:32
1300152997,12.99,74,97295,a,09:36:37
1300153002,12.99,312,405288,b,09:36:42
1300153007,13.0,365,474500,b,09:36:47
1300153012,12.98,1934,2510799,a,09:36:52
1300153017,12.98,112,145376,b,09:36:57
1300153022,12.98,165,214170,b,09:37:02
1300153027,12.98,245,318243,b,09:37:07
1300153032,12.98,3707,4811686,b,09:37:12
1300153037,12.97,512,664064,a,09:37:17
1300153042,12.97,724,939028,b,09:37:22
1300153047,12.98,423,549054,b,09:37:27
1300153052,12.95,2589,3352755,a,09:37:32
1300153057,12.96,24,31104,a,09:37:37
1300153062,12.96,129,167184,a,09:37:42
1300153067,12.96,115,149040,a,09:37:47
1300153072,12.97,67,86899,b,09:37:52
1300153077,12.97,44,57068,b,09:37:57
1300153082,12.97,53,68741,b,09:38:02
1300153087,12.97,56,72632,b,09:38:07
1300153092,12.97,73,94681,b,09:38:12
1300153097,12.97,249,322953,b,09:38:17
1300153102,12.96,711,921456,a,09:38:22
1300153107,12.98,188,244673,b,09:38:27
1300153112,12.98,56,72688,b,09:38:32
1300153117,12.96,396,514123,a,09:38:37
1300153122,12.97,53,69130,n,09:38:42
1300153127,12.97,372,483391,a,09:38:47
1300153132,12.97,80,103760,b,09:38:52
1300153137,12.97,264,342408,b,09:38:57
1300153142,12.97,105,136185,b,09:39:02
1300153147,12.97,444,576101,b,09:39:07
1300153152,12.97,142,185393,b,09:39:12
1300153157,12.97,94,121918,a,09:39:17
1300153162,12.97,95,123215,a,09:39:22
1300153167,12.97,148,191956,a,09:39:27
1300153172,12.98,256,332288,b,09:39:32
1300153177,12.97,75,97275,a,09:39:37
1300153182,12.98,29,37642,a,09:39:42
1300153187,12.98,191,247918,a,09:39:47
1300153192,12.99,33,42867,b,09:39:52
1300153197,13.0,1372,1783600,b,09:39:57
1300153202,12.98,181,234938,a,09:40:02
1300153207,12.98,149,194505,a,09:40:07
1300153212,12.98,97,125906,a,09:40:12
1300153217,12.99,139,180561,n,09:40:17
1300153222,12.99,170,220830,b,09:40:22
1300153227,12.99,39,50661,b,09:40:27
1300153232,12.99,28,36372,b,09:40:32
1300153237,12.99,44,57156,b,09:40:37
1300153242,12.99,223,289677,b,09:40:42
1300153247,12.98,170,220660,a,09:40:47
1300153252,12.98,52,67496,a,09:40:52
1300153257,12.99,1253,1627647,b,09:40:57
1300153262,12.99,183,238106,a,09:41:02
1300153267,12.99,513,666620,a,09:41:07
1300153272,12.98,3585,4654199,a,09:41:12
1300153277,12.98,55,71390,b,09:41:17
1300153282,12.98,130,168740,b,09:41:22
1300153287,12.97,1532,1987004,a,09:41:27
1300153292,12.98,43,55814,b,09:41:32
1300153297,12.96,4175,5411603,a,09:41:37
1300153302,12.96,3007,3897072,b,09:41:42
1300153307,12.96,209,270864,b,09:41:47
1300153312,12.95,115,148925,a,09:41:52
1300153317,12.96,121,156816,b,09:41:57
